forecast_id,item_id,warehouse_id,forecast_start_date,forecast_end_date,forecasted_quantity,confidence_level
FCAST-000042,PROD-00494,WH-IN-0742,2025-09-05,2025-10-05,1282,0.69
FCAST-000043,PROD-00799,WH-IN-0389,2025-09-01,2025-10-01,1826,0.84
FCAST-000044,PROD-00095,WH-IN-0584,2025-08-31,2025-09-07,1410,0.76
FCAST-000045,PROD-00472,WH-IN-0943,2025-09-02,2025-12-01,958,0.95
FCAST-000046,PROD-00665,WH-IN-0194,2025-08-30,2025-11-28,1251,0.79
FCAST-000047,PROD-00448,WH-IN-0672,2025-09-03,2025-12-02,785,0.75
FCAST-000048,PROD-00698,WH-IN-0054,2025-09-01,2025-09-08,372,0.73
FCAST-000049,PROD-00548,WH-IN-0042,2025-08-29,2025-09-28,1286,0.81
FCAST-000050,PROD-00658,WH-IN-0246,2025-09-01,2025-10-31,491,0.79
FCAST-000051,PROD-00389,WH-IN-0560,2025-09-05,2025-09-12,695,0.64
FCAST-000052,PROD-01000,WH-IN-0038,2025-08-31,2025-09-15,879,0.87
FCAST-000053,PROD-00293,WH-IN-0211,2025-09-04,2025-12-03,1845,0.67
FCAST-000054,PROD-00961,WH-IN-0700,2025-08-29,2025-11-27,1964,0.6
FCAST-000055,PROD-00225,WH-IN-0615,2025-08-31,2025-11-29,1860,0.8
FCAST-000056,PROD-00797,WH-IN-0641,2025-09-03,2025-10-03,211,0.69
FCAST-000057,PROD-00730,WH-IN-0584,2025-09-03,2025-11-02,1498,0.81
FCAST-000058,PROD-00903,WH-IN-0175,2025-09-04,2025-09-19,152,0.76
FCAST-000059,PROD-00598,WH-IN-0514,2025-09-01,2025-10-01,391,0.96
FCAST-000060,PROD-00045,WH-IN-0514,2025-09-04,2025-10-04,265,0.76
FCAST-000061,PROD-00058,WH-IN-0133,2025-09-04,2025-09-11,1923,0.73
FCAST-000062,PROD-00380,WH-IN-0589,2025-09-05,2025-10-05,32,0.88
FCAST-000063,PROD-00304,WH-IN-0162,2025-09-03,2025-11-02,611,0.66
FCAST-000064,PROD-00657,WH-IN-0302,2025-09-02,2025-12-01,94,0.78
FCAST-000065,PROD-00586,WH-IN-0764,2025-08-29,2025-11-27,1860,0.7
FCAST-000066,PROD-00745,WH-IN-0746,2025-08-29,2025-10-28,79,0.72
FCAST-000067,PROD-00286,WH-IN-0844,2025-08-30,2025-11-28,791,0.78
FCAST-000068,PROD-00702,WH-IN-0648,2025-08-31,2025-09-07,368,0.68
FCAST-000069,PROD-00095,WH-IN-0339,2025-09-04,2025-09-11,1789,0.72
FCAST-000070,PROD-00405,WH-IN-0101,2025-09-02,2025-11-01,480,0.64
FCAST-000071,PROD-00777,WH-IN-0785,2025-09-02,2025-09-09,1622,0.75
FCAST-000072,PROD-00754,WH-IN-0640,2025-08-30,2025-11-28,1853,0.7
FCAST-000073,PROD-00820,WH-IN-0220,2025-09-03,2025-10-03,1595,0.6
FCAST-000074,PROD-00680,WH-IN-0522,2025-09-04,2025-09-11,83,0.7
FCAST-000075,PROD-00374,WH-IN-0725,2025-08-29,2025-09-28,905,0.9
FCAST-000076,PROD-00016,WH-IN-0677,2025-09-02,2025-11-01,1600,0.68
FCAST-000077,PROD-00697,WH-IN-0663,2025-09-01,2025-11-30,697,0.74
FCAST-000078,PROD-00837,WH-IN-0687,2025-09-01,2025-10-01,1177,0.78
FCAST-000079,PROD-00624,WH-IN-0780,2025-08-29,2025-10-28,1255,0.92
FCAST-000080,PROD-00706,WH-IN-0525,2025-08-31,2025-09-15,1493,0.63
FCAST-000081,PROD-00956,WH-IN-0417,2025-09-04,2025-10-04,998,0.95
FCAST-000082,PROD-00937,WH-IN-0766,2025-09-04,2025-10-04,739,0.82
FCAST-000083,PROD-00900,WH-IN-0107,2025-08-31,2025-11-29,1865,0.89
FCAST-000084,PROD-00345,WH-IN-0724,2025-08-31,2025-09-07,250,0.77
FCAST-000085,PROD-00178,WH-IN-0048,2025-08-29,2025-09-28,1156,0.74
FCAST-000086,PROD-00015,WH-IN-0667,2025-09-05,2025-09-12,530,0.77
FCAST-000087,PROD-00765,WH-IN-0328,2025-09-03,2025-12-02,48,0.77
FCAST-000088,PROD-00328,WH-IN-0321,2025-09-05,2025-09-20,1962,0.83
FCAST-000089,PROD-00440,WH-IN-0964,2025-09-04,2025-11-03,101,0.77
FCAST-000090,PROD-00441,WH-IN-0266,2025-09-02,2025-12-01,263,0.73
FCAST-000091,PROD-00290,WH-IN-0157,2025-09-05,2025-10-05,1440,0.92
FCAST-000092,PROD-00034,WH-IN-0715,2025-09-05,2025-11-04,1435,0.66
FCAST-000093,PROD-00116,WH-IN-0504,2025-09-02,2025-11-01,783,0.84
FCAST-000094,PROD-00714,WH-IN-0198,2025-09-02,2025-09-09,259,0.84
FCAST-000095,PROD-00842,WH-IN-0778,2025-08-31,2025-09-15,1325,0.88
FCAST-000096,PROD-00613,WH-IN-0554,2025-09-02,2025-09-17,1359,0.78
FCAST-000097,PROD-00128,WH-IN-0678,2025-08-31,2025-09-07,1463,0.75
FCAST-000098,PROD-00527,WH-IN-0573,2025-09-04,2025-10-04,139,0.92
FCAST-000099,PROD-00023,WH-IN-0015,2025-09-02,2025-10-02,1805,0.98
FCAST-000100,PROD-00712,WH-IN-0321,2025-09-03,2025-12-02,1212,0.91
FCAST-000101,PROD-00007,WH-IN-0235,2025-08-30,2025-10-29,1278,0.96
FCAST-000102,PROD-00012,WH-IN-0943,2025-08-29,2025-10-28,1476,0.86
FCAST-000103,PROD-00014,WH-IN-0419,2025-09-05,2025-09-12,956,0.84
FCAST-000104,PROD-00107,WH-IN-0343,2025-09-05,2025-09-12,722,0.88
FCAST-000105,PROD-00379,WH-IN-0980,2025-09-03,2025-10-03,21,0.67
FCAST-000106,PROD-00035,WH-IN-0612,2025-09-01,2025-09-08,1052,0.9
FCAST-000107,PROD-00916,WH-IN-0274,2025-09-01,2025-09-16,1843,0.66
FCAST-000108,PROD-00139,WH-IN-0448,2025-09-01,2025-09-08,1019,0.72
FCAST-000109,PROD-00977,WH-IN-0140,2025-08-31,2025-09-07,966,0.94
FCAST-000110,PROD-00804,WH-IN-0899,2025-09-04,2025-10-04,36,0.83
FCAST-000111,PROD-00032,WH-IN-0305,2025-09-02,2025-11-01,110,0.7
FCAST-000112,PROD-00091,WH-IN-0060,2025-09-01,2025-10-31,969,0.91
FCAST-000113,PROD-00326,WH-IN-0710,2025-09-01,2025-10-31,861,0.62
FCAST-000114,PROD-00647,WH-IN-0495,2025-09-04,2025-11-03,1271,0.61
FCAST-000115,PROD-00456,WH-IN-0178,2025-08-30,2025-09-29,1713,0.74
FCAST-000116,PROD-00724,WH-IN-0474,2025-08-31,2025-10-30,970,0.9
FCAST-000117,PROD-00196,WH-IN-0456,2025-09-03,2025-09-18,1649,0.94
FCAST-000118,PROD-00376,WH-IN-0706,2025-09-02,2025-09-09,909,0.97
FCAST-000119,PROD-00049,WH-IN-0961,2025-09-02,2025-12-01,868,0.76
FCAST-000120,PROD-00658,WH-IN-0035,2025-09-01,2025-09-08,406,0.83
FCAST-000121,PROD-00119,WH-IN-0093,2025-09-03,2025-10-03,1057,0.64
FCAST-000122,PROD-00329,WH-IN-0448,2025-09-05,2025-12-04,892,0.66
FCAST-000123,PROD-00830,WH-IN-0056,2025-09-04,2025-12-03,1025,0.69
FCAST-000124,PROD-00289,WH-IN-0502,2025-08-30,2025-11-28,42,0.96
FCAST-000125,PROD-00461,WH-IN-0838,2025-09-02,2025-11-01,680,0.66
FCAST-000126,PROD-00760,WH-IN-0891,2025-08-29,2025-09-05,691,0.76
FCAST-000127,PROD-00593,WH-IN-0519,2025-08-29,2025-09-28,1382,0.64
FCAST-000128,PROD-00079,WH-IN-0413,2025-09-03,2025-10-03,1884,0.89
FCAST-000129,PROD-00245,WH-IN-0094,2025-09-04,2025-09-19,1552,0.73
FCAST-000130,PROD-00330,WH-IN-0799,2025-09-01,2025-09-08,1808,0.62
FCAST-000131,PROD-00844,WH-IN-0216,2025-08-29,2025-11-27,1759,0.97
FCAST-000132,PROD-00154,WH-IN-0842,2025-08-30,2025-10-29,1190,0.79
FCAST-000133,PROD-00986,WH-IN-0900,2025-09-01,2025-10-31,825,0.63
FCAST-000134,PROD-00851,WH-IN-0277,2025-09-02,2025-10-02,132,0.84
FCAST-000135,PROD-00671,WH-IN-0877,2025-08-30,2025-09-14,643,0.85
FCAST-000136,PROD-00265,WH-IN-0821,2025-08-29,2025-10-28,806,0.61
FCAST-000137,PROD-00310,WH-IN-0475,2025-09-05,2025-09-20,923,0.65
FCAST-000138,PROD-00040,WH-IN-0364,2025-09-02,2025-12-01,612,0.87
FCAST-000139,PROD-00200,WH-IN-0654,2025-08-30,2025-09-14,683,0.67
FCAST-000140,PROD-00096,WH-IN-0772,2025-09-03,2025-11-02,1073,0.8
FCAST-000141,PROD-00246,WH-IN-0140,2025-08-31,2025-10-30,700,0.85
FCAST-000142,PROD-00201,WH-IN-0420,2025-09-05,2025-09-12,124,0.97
FCAST-000143,PROD-00825,WH-IN-0546,2025-08-31,2025-09-30,1397,0.64
FCAST-000144,PROD-00675,WH-IN-0191,2025-09-03,2025-10-03,1159,0.73
FCAST-000145,PROD-00334,WH-IN-0274,2025-09-02,2025-09-17,487,0.94
FCAST-000146,PROD-00966,WH-IN-0947,2025-08-30,2025-09-14,1478,0.73
FCAST-000147,PROD-00035,WH-IN-0187,2025-09-02,2025-09-09,1420,0.68
FCAST-000148,PROD-00075,WH-IN-0567,2025-09-05,2025-09-20,1667,0.99
FCAST-000149,PROD-00529,WH-IN-0235,2025-09-02,2025-09-17,1601,0.61
FCAST-000150,PROD-00041,WH-IN-0763,2025-09-03,2025-09-18,1774,0.61
FCAST-000151,PROD-00326,WH-IN-0185,2025-09-05,2025-12-04,711,0.61
FCAST-000152,PROD-00618,WH-IN-0233,2025-09-03,2025-10-03,645,0.69
FCAST-000153,PROD-00038,WH-IN-0277,2025-09-03,2025-12-02,586,0.76
FCAST-000154,PROD-00245,WH-IN-0435,2025-08-31,2025-10-30,113,0.89
FCAST-000155,PROD-00076,WH-IN-0950,2025-08-29,2025-09-28,1953,0.7
FCAST-000156,PROD-00727,WH-IN-0994,2025-09-05,2025-10-05,1863,0.79
FCAST-000157,PROD-00660,WH-IN-0824,2025-09-04,2025-09-19,160,0.79
FCAST-000158,PROD-00300,WH-IN-0128,2025-08-29,2025-09-05,231,0.76
FCAST-000159,PROD-00545,WH-IN-0373,2025-09-04,2025-09-11,720,0.63
FCAST-000160,PROD-00137,WH-IN-0821,2025-09-02,2025-11-01,474,0.75
FCAST-000161,PROD-00540,WH-IN-0388,2025-09-04,2025-12-03,74,0.86
FCAST-000162,PROD-00854,WH-IN-0655,2025-09-03,2025-11-02,1721,0.9
FCAST-000163,PROD-00470,WH-IN-0657,2025-08-31,2025-09-07,388,0.81
FCAST-000164,PROD-00510,WH-IN-0561,2025-09-04,2025-12-03,836,0.75
FCAST-000165,PROD-00798,WH-IN-0007,2025-09-05,2025-11-04,775,0.68
FCAST-000166,PROD-00209,WH-IN-0736,2025-09-05,2025-12-04,980,0.92
FCAST-000167,PROD-00906,WH-IN-0236,2025-09-01,2025-09-08,1555,0.82
FCAST-000168,PROD-00657,WH-IN-0215,2025-09-01,2025-10-31,1197,0.91
FCAST-000169,PROD-00457,WH-IN-0306,2025-09-04,2025-11-03,1700,0.96
FCAST-000170,PROD-00579,WH-IN-0738,2025-09-03,2025-09-10,1034,0.86
FCAST-000171,PROD-00672,WH-IN-0002,2025-09-05,2025-09-20,38,0.74
FCAST-000172,PROD-00155,WH-IN-0697,2025-09-03,2025-12-02,234,0.96
FCAST-000173,PROD-00819,WH-IN-0292,2025-08-29,2025-09-28,1385,0.67
FCAST-000174,PROD-00470,WH-IN-0552,2025-09-03,2025-09-18,1109,0.89
FCAST-000175,PROD-00773,WH-IN-0274,2025-09-03,2025-12-02,575,0.84
FCAST-000176,PROD-00153,WH-IN-0391,2025-08-31,2025-09-07,1868,0.72
FCAST-000177,PROD-00373,WH-IN-0414,2025-09-02,2025-12-01,1735,0.65
FCAST-000178,PROD-00256,WH-IN-0535,2025-09-03,2025-11-02,497,0.72
FCAST-000179,PROD-00583,WH-IN-0997,2025-09-01,2025-09-08,1420,0.89
FCAST-000180,PROD-00188,WH-IN-0950,2025-09-05,2025-10-05,1876,0.64
FCAST-000181,PROD-00126,WH-IN-0834,2025-08-31,2025-09-15,1833,0.93
FCAST-000182,PROD-00668,WH-IN-0731,2025-09-05,2025-12-04,1432,0.7
FCAST-000183,PROD-00928,WH-IN-0129,2025-09-01,2025-10-31,600,0.84
FCAST-000184,PROD-00012,WH-IN-0279,2025-09-03,2025-09-10,13,0.91
FCAST-000185,PROD-00238,WH-IN-0634,2025-08-31,2025-11-29,970,0.96
FCAST-000186,PROD-00261,WH-IN-0507,2025-09-02,2025-12-01,273,0.82
FCAST-000187,PROD-00969,WH-IN-0953,2025-08-31,2025-09-15,1455,0.8
FCAST-000188,PROD-00489,WH-IN-0337,2025-08-31,2025-11-29,1917,0.61
FCAST-000189,PROD-00256,WH-IN-0759,2025-09-05,2025-10-05,877,0.75
FCAST-000190,PROD-00633,WH-IN-0224,2025-09-02,2025-10-02,1314,0.94
FCAST-000191,PROD-00055,WH-IN-0171,2025-08-30,2025-09-06,937,0.77
FCAST-000192,PROD-00052,WH-IN-0403,2025-09-02,2025-10-02,1955,0.65
FCAST-000193,PROD-00609,WH-IN-0587,2025-09-03,2025-09-18,1001,0.94
FCAST-000194,PROD-00613,WH-IN-0624,2025-09-02,2025-09-09,1308,0.9
FCAST-000195,PROD-00907,WH-IN-0920,2025-08-30,2025-11-28,1521,0.86
FCAST-000196,PROD-00096,WH-IN-0045,2025-08-29,2025-10-28,1181,0.84
FCAST-000197,PROD-00205,WH-IN-0579,2025-08-31,2025-09-07,771,0.77
FCAST-000198,PROD-00474,WH-IN-0179,2025-09-02,2025-09-09,770,0.91
FCAST-000199,PROD-00655,WH-IN-0081,2025-09-02,2025-11-01,1936,0.94
FCAST-000200,PROD-00288,WH-IN-0212,2025-09-05,2025-09-12,1905,0.7
FCAST-000201,PROD-00302,WH-IN-0261,2025-09-01,2025-09-08,1964,0.83
FCAST-000202,PROD-00278,WH-IN-0698,2025-09-02,2025-09-09,154,0.75
FCAST-000203,PROD-00644,WH-IN-0866,2025-09-02,2025-12-01,1414,0.83
FCAST-000204,PROD-00042,WH-IN-0649,2025-09-03,2025-09-18,1817,0.68
FCAST-000205,PROD-00200,WH-IN-0666,2025-09-02,2025-10-02,470,0.63
FCAST-000206,PROD-00872,WH-IN-0113,2025-09-01,2025-10-01,286,0.96
FCAST-000207,PROD-00782,WH-IN-0875,2025-09-02,2025-11-01,370,0.88
FCAST-000208,PROD-00607,WH-IN-0128,2025-09-05,2025-09-20,1341,0.9
FCAST-000209,PROD-00286,WH-IN-0827,2025-08-31,2025-11-29,1287,0.89
FCAST-000210,PROD-00997,WH-IN-0048,2025-09-01,2025-09-16,289,0.78
FCAST-000211,PROD-00417,WH-IN-0274,2025-09-03,2025-09-18,1960,0.85
FCAST-000212,PROD-00223,WH-IN-0528,2025-09-05,2025-10-05,1509,0.85
FCAST-000213,PROD-00609,WH-IN-0744,2025-09-02,2025-10-02,315,0.89
FCAST-000214,PROD-00683,WH-IN-0172,2025-09-01,2025-09-16,483,0.69
FCAST-000215,PROD-00664,WH-IN-0880,2025-09-04,2025-12-03,1799,0.94
FCAST-000216,PROD-00511,WH-IN-0836,2025-09-01,2025-11-30,70,0.96
FCAST-000217,PROD-00997,WH-IN-0781,2025-09-02,2025-10-02,779,0.71
FCAST-000218,PROD-00242,WH-IN-0527,2025-09-04,2025-10-04,1972,0.76
FCAST-000219,PROD-00520,WH-IN-0336,2025-08-30,2025-11-28,1579,0.6
FCAST-000220,PROD-00223,WH-IN-0788,2025-09-04,2025-12-03,395,0.68
FCAST-000221,PROD-00796,WH-IN-0338,2025-09-05,2025-09-20,1504,0.91
FCAST-000222,PROD-00013,WH-IN-0860,2025-09-05,2025-09-12,143,0.68
FCAST-000223,PROD-00009,WH-IN-0911,2025-09-01,2025-09-08,221,0.62
FCAST-000224,PROD-00765,WH-IN-0190,2025-09-02,2025-11-01,1933,0.72
FCAST-000225,PROD-00335,WH-IN-0797,2025-08-31,2025-09-07,834,0.75
FCAST-000226,PROD-00031,WH-IN-0289,2025-09-03,2025-09-18,1131,0.77
FCAST-000227,PROD-00485,WH-IN-0671,2025-09-01,2025-10-31,246,0.86
FCAST-000228,PROD-00154,WH-IN-0772,2025-09-03,2025-09-10,51,0.68
FCAST-000229,PROD-00692,WH-IN-0856,2025-09-03,2025-09-18,259,0.77
FCAST-000230,PROD-00662,WH-IN-0547,2025-09-05,2025-11-04,1037,0.88
FCAST-000231,PROD-00878,WH-IN-0201,2025-09-01,2025-10-01,1267,0.73
FCAST-000232,PROD-00185,WH-IN-0513,2025-09-04,2025-10-04,232,0.71
FCAST-000233,PROD-00676,WH-IN-0494,2025-09-02,2025-09-17,1802,0.92
FCAST-000234,PROD-00818,WH-IN-0094,2025-09-02,2025-09-17,1698,0.79
FCAST-000235,PROD-00323,WH-IN-0384,2025-09-05,2025-11-04,154,0.98
FCAST-000236,PROD-00524,WH-IN-0087,2025-09-05,2025-09-12,352,0.84
FCAST-000237,PROD-00538,WH-IN-0878,2025-08-31,2025-09-30,951,0.96
FCAST-000238,PROD-00064,WH-IN-0179,2025-09-02,2025-11-01,592,0.77
FCAST-000239,PROD-00180,WH-IN-0593,2025-09-01,2025-11-30,1832,0.71
FCAST-000240,PROD-00257,WH-IN-0825,2025-09-05,2025-09-20,338,0.85
FCAST-000241,PROD-00526,WH-IN-0525,2025-08-30,2025-09-29,1118,0.62
FCAST-000242,PROD-00666,WH-IN-0578,2025-09-04,2025-09-19,176,0.98
FCAST-000243,PROD-00399,WH-IN-0671,2025-08-30,2025-10-29,522,0.71
FCAST-000244,PROD-00024,WH-IN-0552,2025-09-02,2025-09-09,1942,0.77
FCAST-000245,PROD-00005,WH-IN-0786,2025-09-02,2025-10-02,779,0.97
FCAST-000246,PROD-00652,WH-IN-0813,2025-08-30,2025-11-28,293,0.61
FCAST-000247,PROD-00640,WH-IN-0216,2025-08-29,2025-09-13,391,0.87
FCAST-000248,PROD-00127,WH-IN-0308,2025-09-04,2025-11-03,1884,0.97
FCAST-000249,PROD-00575,WH-IN-0868,2025-09-02,2025-09-09,1250,0.6
FCAST-000250,PROD-00331,WH-IN-0542,2025-08-31,2025-09-15,520,0.7
FCAST-000251,PROD-00391,WH-IN-0989,2025-08-30,2025-11-28,1273,0.9
FCAST-000252,PROD-00863,WH-IN-0520,2025-09-04,2025-09-11,1559,0.79
FCAST-000253,PROD-00270,WH-IN-0977,2025-09-01,2025-09-16,1693,0.66
FCAST-000254,PROD-00794,WH-IN-0741,2025-09-02,2025-11-01,1797,0.78
FCAST-000255,PROD-00557,WH-IN-0238,2025-09-04,2025-11-03,535,0.96
FCAST-000256,PROD-00832,WH-IN-0132,2025-09-05,2025-09-20,1728,0.67
FCAST-000257,PROD-00708,WH-IN-0829,2025-09-01,2025-09-08,62,0.67
FCAST-000258,PROD-00848,WH-IN-0602,2025-09-03,2025-12-02,753,0.63
FCAST-000259,PROD-00925,WH-IN-0443,2025-09-03,2025-09-10,1946,0.82
FCAST-000260,PROD-00255,WH-IN-0927,2025-08-29,2025-09-28,900,0.85
FCAST-000261,PROD-00485,WH-IN-0479,2025-09-04,2025-10-04,579,0.84
FCAST-000262,PROD-00836,WH-IN-0397,2025-09-01,2025-09-08,1272,0.89
FCAST-000263,PROD-00986,WH-IN-0012,2025-08-30,2025-10-29,700,0.98
FCAST-000264,PROD-00996,WH-IN-0416,2025-09-01,2025-10-01,242,0.9
FCAST-000265,PROD-00018,WH-IN-0377,2025-08-31,2025-10-30,857,0.95
FCAST-000266,PROD-00523,WH-IN-0779,2025-09-04,2025-10-04,1413,0.89
FCAST-000267,PROD-00733,WH-IN-0738,2025-08-31,2025-11-29,376,0.98
FCAST-000268,PROD-00507,WH-IN-0440,2025-09-05,2025-12-04,1799,0.78
FCAST-000269,PROD-00333,WH-IN-0643,2025-09-02,2025-12-01,1768,0.89
FCAST-000270,PROD-00727,WH-IN-0353,2025-09-03,2025-11-02,530,0.86
FCAST-000271,PROD-00745,WH-IN-0599,2025-09-02,2025-12-01,813,0.62
FCAST-000272,PROD-00267,WH-IN-0201,2025-08-31,2025-09-30,901,0.91
FCAST-000273,PROD-00723,WH-IN-0373,2025-09-05,2025-09-12,762,0.78
FCAST-000274,PROD-00092,WH-IN-0637,2025-09-04,2025-09-19,1208,0.67
FCAST-000275,PROD-00364,WH-IN-0308,2025-09-03,2025-11-02,1105,0.73
FCAST-000276,PROD-00723,WH-IN-0131,2025-09-05,2025-09-12,866,0.77
FCAST-000277,PROD-00744,WH-IN-0888,2025-09-01,2025-09-16,904,0.79
FCAST-000278,PROD-00053,WH-IN-0295,2025-09-02,2025-09-09,1647,0.64
FCAST-000279,PROD-00345,WH-IN-0456,2025-09-02,2025-10-02,169,0.64
FCAST-000280,PROD-00451,WH-IN-0047,2025-09-04,2025-10-04,17,0.98
FCAST-000281,PROD-00396,WH-IN-0903,2025-08-31,2025-10-30,1256,0.92
FCAST-000282,PROD-00484,WH-IN-0441,2025-09-02,2025-09-17,1751,0.66
FCAST-000283,PROD-00398,WH-IN-0517,2025-08-30,2025-10-29,1119,0.93
FCAST-000284,PROD-00560,WH-IN-0557,2025-09-01,2025-10-31,400,0.94
FCAST-000285,PROD-00508,WH-IN-0119,2025-08-31,2025-09-15,734,0.78
FCAST-000286,PROD-00151,WH-IN-0934,2025-09-04,2025-12-03,172,0.85
FCAST-000287,PROD-00465,WH-IN-0674,2025-08-29,2025-11-27,1520,0.97
FCAST-000288,PROD-00481,WH-IN-0146,2025-09-05,2025-12-04,368,0.83
FCAST-000289,PROD-00827,WH-IN-0462,2025-09-04,2025-09-11,1613,0.7
FCAST-000290,PROD-00901,WH-IN-0267,2025-08-30,2025-09-29,936,0.8
FCAST-000291,PROD-00857,WH-IN-0958,2025-09-03,2025-09-10,636,0.91
FCAST-000292,PROD-00587,WH-IN-0416,2025-08-30,2025-09-06,1434,0.92
FCAST-000293,PROD-00635,WH-IN-0265,2025-09-03,2025-11-02,1947,0.89
FCAST-000294,PROD-00955,WH-IN-0542,2025-09-04,2025-12-03,182,0.82
FCAST-000295,PROD-00246,WH-IN-0924,2025-09-04,2025-11-03,1539,0.97
FCAST-000296,PROD-00066,WH-IN-0434,2025-08-29,2025-11-27,604,0.96
FCAST-000297,PROD-00304,WH-IN-0172,2025-09-03,2025-11-02,586,0.62
FCAST-000298,PROD-00934,WH-IN-0016,2025-09-02,2025-10-02,818,0.79
FCAST-000299,PROD-00005,WH-IN-0955,2025-09-01,2025-09-16,94,0.81
FCAST-000300,PROD-00335,WH-IN-0632,2025-09-03,2025-12-02,1971,0.81
FCAST-000301,PROD-00792,WH-IN-0103,2025-09-05,2025-12-04,982,0.79
FCAST-000302,PROD-00545,WH-IN-0683,2025-09-04,2025-10-04,1022,0.83
FCAST-000303,PROD-00969,WH-IN-0057,2025-08-30,2025-11-28,723,0.69
FCAST-000304,PROD-00962,WH-IN-0645,2025-08-30,2025-10-29,1680,0.84
FCAST-000305,PROD-00304,WH-IN-0663,2025-08-31,2025-09-30,1201,0.7
FCAST-000306,PROD-00434,WH-IN-0611,2025-09-02,2025-09-09,855,0.87
FCAST-000307,PROD-00624,WH-IN-0283,2025-09-02,2025-11-01,601,0.93
FCAST-000308,PROD-00642,WH-IN-0828,2025-09-01,2025-11-30,146,0.95
FCAST-000309,PROD-00948,WH-IN-0025,2025-09-05,2025-09-12,478,0.96
FCAST-000310,PROD-00977,WH-IN-0451,2025-08-29,2025-09-28,1512,0.71
FCAST-000311,PROD-00148,WH-IN-0568,2025-09-05,2025-12-04,1028,0.71
FCAST-000312,PROD-00521,WH-IN-0741,2025-09-05,2025-09-20,57,0.67
