sale_id,item_id,warehouse_id,sale_date,quantity_sold,unit_price
SALE-0000028,PROD-00674,WH-IN-0620,2025-03-17,53,2147.08
SALE-0000029,PROD-00582,WH-IN-0423,2024-10-06,5,11504.73
SALE-0000030,PROD-00792,WH-IN-0661,2025-06-30,57,8019.2
SALE-0000031,PROD-00756,WH-IN-0663,2024-10-30,44,4495.19
SALE-0000032,PROD-00561,WH-IN-1000,2025-03-16,49,290.7
SALE-0000033,PROD-00796,WH-IN-0905,2025-02-01,91,8128.37
SALE-0000034,PROD-00674,WH-IN-0127,2024-12-08,53,4280.48
SALE-0000035,PROD-00050,WH-IN-0397,2024-12-01,53,4160.61
SALE-0000036,PROD-00211,WH-IN-0964,2024-09-23,97,1737.14
SALE-0000037,PROD-00918,WH-IN-0419,2024-11-13,63,10990.7
SALE-0000038,PROD-00070,WH-IN-0715,2024-12-15,67,5180.27
SALE-0000039,PROD-00767,WH-IN-0957,2024-10-06,10,6199.21
SALE-0000040,PROD-00790,WH-IN-0650,2025-08-09,94,5282.77
SALE-0000041,PROD-00976,WH-IN-0097,2024-12-19,14,9086.43
SALE-0000042,PROD-00076,WH-IN-0559,2025-03-15,82,7764.11
SALE-0000043,PROD-00685,WH-IN-0466,2025-06-04,17,5935.97
SALE-0000044,PROD-00678,WH-IN-0639,2025-08-15,55,4347.48
SALE-0000045,PROD-00435,WH-IN-0295,2025-05-27,75,5237.71
SALE-0000046,PROD-00441,WH-IN-0105,2025-08-24,9,1702.49
SALE-0000047,PROD-00572,WH-IN-0712,2025-08-06,44,7086.77
SALE-0000048,PROD-00969,WH-IN-0856,2024-09-11,11,3446.16
SALE-0000049,PROD-00218,WH-IN-0607,2024-12-21,47,9750.19
SALE-0000050,PROD-00975,WH-IN-0972,2024-10-22,82,720.17
SALE-0000051,PROD-00727,WH-IN-0560,2025-02-18,45,8567.8
SALE-0000052,PROD-00601,WH-IN-0637,2025-06-22,78,10240.29
SALE-0000053,PROD-00771,WH-IN-0619,2024-10-08,7,3704.16
SALE-0000054,PROD-00079,WH-IN-0389,2024-10-21,70,5313.05
SALE-0000055,PROD-00968,WH-IN-0039,2025-08-25,70,2766.65
SALE-0000056,PROD-00409,WH-IN-0257,2025-03-06,22,720.76
SALE-0000057,PROD-00218,WH-IN-0838,2025-04-10,94,6465.96
SALE-0000058,PROD-00468,WH-IN-0016,2025-05-06,67,3230.31
SALE-0000059,PROD-00484,WH-IN-0199,2025-07-15,14,3874.74
SALE-0000060,PROD-00399,WH-IN-0243,2024-11-29,47,11872.06
SALE-0000061,PROD-00753,WH-IN-0954,2024-11-07,39,3692.16
SALE-0000062,PROD-00794,WH-IN-0268,2025-01-06,59,4112.27
SALE-0000063,PROD-00219,WH-IN-0598,2024-12-02,88,6644.13
SALE-0000064,PROD-00645,WH-IN-0401,2025-02-18,13,557.34
SALE-0000065,PROD-00419,WH-IN-0173,2025-03-25,85,2882.79
SALE-0000066,PROD-00982,WH-IN-0839,2025-07-13,53,5137.25
SALE-0000067,PROD-00890,WH-IN-0853,2024-11-07,51,2329.52
SALE-0000068,PROD-00511,WH-IN-0053,2024-09-21,15,7066.65
SALE-0000069,PROD-00151,WH-IN-0771,2024-12-16,25,3782.85
SALE-0000070,PROD-00730,WH-IN-0417,2025-05-23,13,8478.47
SALE-0000071,PROD-00856,WH-IN-0118,2025-01-04,7,5806.94
SALE-0000072,PROD-00754,WH-IN-0266,2024-11-03,97,115.49
SALE-0000073,PROD-00961,WH-IN-0472,2024-11-18,73,3239.3
SALE-0000074,PROD-00195,WH-IN-0421,2025-08-08,35,6684.42
SALE-0000075,PROD-00843,WH-IN-0120,2024-09-30,27,11413.68
SALE-0000076,PROD-00028,WH-IN-0711,2025-06-03,51,6802.66
SALE-0000077,PROD-00757,WH-IN-0890,2025-01-13,6,5907.14
SALE-0000078,PROD-00899,WH-IN-0664,2024-11-15,20,10344.05
SALE-0000079,PROD-00758,WH-IN-0837,2025-05-10,80,6701.9
SALE-0000080,PROD-00045,WH-IN-0514,2025-08-28,69,5080.69
SALE-0000081,PROD-00333,WH-IN-0090,2025-01-06,50,5644.32
SALE-0000082,PROD-00274,WH-IN-0369,2025-01-23,31,5358.97
SALE-0000083,PROD-00375,WH-IN-0218,2024-10-09,28,258.81
SALE-0000084,PROD-00874,WH-IN-0752,2025-07-24,66,12074.95
SALE-0000085,PROD-00484,WH-IN-0231,2024-10-08,68,4963.55
SALE-0000086,PROD-00605,WH-IN-0673,2025-01-08,69,2393.64
SALE-0000087,PROD-00490,WH-IN-0206,2025-03-01,86,4717.73
SALE-0000088,PROD-00618,WH-IN-0183,2025-05-12,44,6754.03
SALE-0000089,PROD-00748,WH-IN-0224,2025-04-13,36,10605.52
SALE-0000090,PROD-00115,WH-IN-0049,2024-09-11,56,2577.73
SALE-0000091,PROD-00679,WH-IN-0123,2025-04-07,14,6938.05
SALE-0000092,PROD-00988,WH-IN-0204,2025-08-08,75,5219.57
SALE-0000093,PROD-00597,WH-IN-0861,2025-01-01,31,1399.14
SALE-0000094,PROD-00456,WH-IN-0361,2025-04-21,55,12575.96
SALE-0000095,PROD-00428,WH-IN-0877,2025-02-13,46,8429.88
SALE-0000096,PROD-00528,WH-IN-0130,2025-06-02,37,2408.75
SALE-0000097,PROD-00733,WH-IN-0375,2025-03-04,35,2976.99
SALE-0000098,PROD-00242,WH-IN-0239,2025-06-21,74,3616.97
SALE-0000099,PROD-00859,WH-IN-0796,2025-07-21,77,1534.47
SALE-0000100,PROD-00450,WH-IN-0771,2025-01-27,86,13034.27
SALE-0000101,PROD-00381,WH-IN-0492,2025-03-22,56,4837.92
SALE-0000102,PROD-00231,WH-IN-0588,2025-08-29,83,7411.73
SALE-0000103,PROD-00186,WH-IN-0887,2024-11-18,92,3739.28
SALE-0000104,PROD-00817,WH-IN-0912,2025-05-09,99,10428.47
SALE-0000105,PROD-00111,WH-IN-0528,2025-02-11,34,2017.08
SALE-0000106,PROD-00130,WH-IN-0943,2025-07-19,45,9412.43
SALE-0000107,PROD-00394,WH-IN-0007,2025-06-27,15,8956.41
SALE-0000108,PROD-00455,WH-IN-0349,2024-10-13,94,5723.42
SALE-0000109,PROD-00854,WH-IN-0287,2025-07-11,19,6416.1
SALE-0000110,PROD-00986,WH-IN-0139,2025-03-04,22,3168.78
SALE-0000111,PROD-00763,WH-IN-0637,2024-09-14,95,5970.97
SALE-0000112,PROD-00387,WH-IN-0768,2024-11-24,15,10352.37
SALE-0000113,PROD-00159,WH-IN-0434,2025-06-24,35,8373.25
SALE-0000114,PROD-00164,WH-IN-0969,2024-09-13,75,7667.06
SALE-0000115,PROD-00579,WH-IN-0483,2025-04-19,35,10458.38
SALE-0000116,PROD-00941,WH-IN-0440,2024-08-30,15,8145.3
SALE-0000117,PROD-00531,WH-IN-0916,2025-05-12,87,835.04
SALE-0000118,PROD-00997,WH-IN-0733,2025-07-22,25,3782.52
SALE-0000119,PROD-00401,WH-IN-0054,2025-01-19,81,1665.52
SALE-0000120,PROD-00674,WH-IN-0679,2025-08-16,26,3443.81
SALE-0000121,PROD-00676,WH-IN-0500,2024-09-03,33,10819.91
SALE-0000122,PROD-00209,WH-IN-0026,2024-10-06,59,5162.6
SALE-0000123,PROD-00833,WH-IN-0690,2025-04-07,30,10516.52
SALE-0000124,PROD-00823,WH-IN-0858,2024-11-14,1,5419.73
SALE-0000125,PROD-00349,WH-IN-0798,2025-07-24,96,8315.69
SALE-0000126,PROD-00753,WH-IN-0060,2025-01-24,59,3139.84
SALE-0000127,PROD-00903,WH-IN-0847,2025-03-07,81,8212.68
SALE-0000128,PROD-00746,WH-IN-0410,2024-12-11,65,889.23
SALE-0000129,PROD-00216,WH-IN-0920,2024-09-02,61,4534.05
SALE-0000130,PROD-00082,WH-IN-0946,2024-10-18,24,11194.86
SALE-0000131,PROD-00357,WH-IN-0268,2024-10-05,64,9596.58
SALE-0000132,PROD-00824,WH-IN-0167,2025-06-12,76,6804.12
SALE-0000133,PROD-00762,WH-IN-0440,2025-08-16,93,10946.28
SALE-0000134,PROD-00252,WH-IN-0947,2024-12-26,2,2166.22
SALE-0000135,PROD-00353,WH-IN-0785,2024-12-14,22,5618.52
SALE-0000136,PROD-00239,WH-IN-0087,2024-08-31,81,6580.02
SALE-0000137,PROD-00047,WH-IN-0922,2024-11-24,97,2092.43
SALE-0000138,PROD-00728,WH-IN-0004,2025-03-02,83,4520.05
SALE-0000139,PROD-00234,WH-IN-0703,2024-10-26,17,1803.89
SALE-0000140,PROD-00233,WH-IN-0428,2025-07-30,37,8744.41
SALE-0000141,PROD-00322,WH-IN-0992,2024-10-27,53,8119.69
SALE-0000142,PROD-00190,WH-IN-0253,2025-05-04,87,6417.11
SALE-0000143,PROD-00425,WH-IN-0035,2025-06-02,60,8420.91
SALE-0000144,PROD-00030,WH-IN-0746,2024-12-17,7,5795.94
SALE-0000145,PROD-00527,WH-IN-0723,2025-05-23,38,3889.76
SALE-0000146,PROD-00957,WH-IN-0228,2025-04-28,50,7270.82
SALE-0000147,PROD-00842,WH-IN-0022,2024-10-09,78,3779.62
SALE-0000148,PROD-00482,WH-IN-0025,2025-05-13,85,1334.12
SALE-0000149,PROD-00429,WH-IN-0139,2025-01-26,24,10536.19
SALE-0000150,PROD-00782,WH-IN-0232,2025-01-16,33,1635.55
SALE-0000151,PROD-00306,WH-IN-0962,2025-07-25,3,2265.21
SALE-0000152,PROD-00152,WH-IN-0346,2025-04-28,86,1685.03
SALE-0000153,PROD-00737,WH-IN-0251,2025-04-16,67,2426.73
SALE-0000154,PROD-00177,WH-IN-0349,2025-08-22,72,6069.28
SALE-0000155,PROD-00948,WH-IN-0581,2025-05-07,39,3108.83
SALE-0000156,PROD-00497,WH-IN-0856,2025-02-24,68,10293.84
SALE-0000157,PROD-00285,WH-IN-0584,2025-01-14,10,4570.32
SALE-0000158,PROD-00894,WH-IN-0973,2025-04-01,43,9535.66
SALE-0000159,PROD-00350,WH-IN-0354,2025-07-26,67,7371.62
SALE-0000160,PROD-00120,WH-IN-0971,2024-10-01,62,5192.81
SALE-0000161,PROD-00929,WH-IN-0658,2025-08-17,49,6337.82
SALE-0000162,PROD-00176,WH-IN-0718,2025-04-26,22,1184.23
SALE-0000163,PROD-00846,WH-IN-0926,2025-08-02,78,2309.26
SALE-0000164,PROD-00888,WH-IN-0350,2025-03-09,77,9344.64
SALE-0000165,PROD-00680,WH-IN-0846,2025-03-13,70,4486.27
SALE-0000166,PROD-00705,WH-IN-0972,2024-12-19,69,3594.48
SALE-0000167,PROD-00616,WH-IN-0405,2025-02-08,99,4514.64
SALE-0000168,PROD-00989,WH-IN-0737,2024-09-27,23,256.49
SALE-0000169,PROD-00329,WH-IN-0667,2024-12-12,30,11337.15
SALE-0000170,PROD-00586,WH-IN-0233,2025-08-04,4,10909.41
SALE-0000171,PROD-00739,WH-IN-0566,2024-10-08,13,3911.63
SALE-0000172,PROD-00634,WH-IN-0609,2025-02-15,51,1582.64
SALE-0000173,PROD-00437,WH-IN-0561,2024-12-08,12,7301.34
SALE-0000174,PROD-00016,WH-IN-0444,2025-03-12,33,3406.07
SALE-0000175,PROD-00817,WH-IN-0817,2025-01-16,61,10772.41
SALE-0000176,PROD-00099,WH-IN-0701,2025-08-01,58,7233.8
SALE-0000177,PROD-00927,WH-IN-0886,2025-07-14,60,76.53
SALE-0000178,PROD-00092,WH-IN-0344,2025-04-17,52,8100.69
SALE-0000179,PROD-00717,WH-IN-0259,2025-03-15,84,7565.05
SALE-0000180,PROD-00005,WH-IN-0816,2025-08-13,53,10635.41
SALE-0000181,PROD-00340,WH-IN-0501,2025-06-10,4,11810.71
SALE-0000182,PROD-00697,WH-IN-0974,2024-11-04,74,5691.87
SALE-0000183,PROD-00122,WH-IN-0732,2025-05-11,34,1638.48
SALE-0000184,PROD-00634,WH-IN-0407,2024-12-06,59,825.55
SALE-0000185,PROD-00016,WH-IN-0833,2025-02-09,83,2926.0
SALE-0000186,PROD-00332,WH-IN-0405,2025-08-20,89,13204.5
SALE-0000187,PROD-00584,WH-IN-0437,2025-06-28,4,1468.15
SALE-0000188,PROD-00552,WH-IN-0998,2024-09-27,11,6824.29
SALE-0000189,PROD-00474,WH-IN-0244,2025-07-19,66,8246.62
SALE-0000190,PROD-00799,WH-IN-0690,2025-06-05,36,751.4
SALE-0000191,PROD-00994,WH-IN-0499,2025-01-08,28,75.73
SALE-0000192,PROD-00642,WH-IN-0188,2025-07-31,58,3377.77
SALE-0000193,PROD-00773,WH-IN-0465,2024-11-24,1,8028.41
SALE-0000194,PROD-00403,WH-IN-0765,2025-04-28,20,6487.14
SALE-0000195,PROD-00246,WH-IN-0023,2024-09-10,50,5999.7
SALE-0000196,PROD-00378,WH-IN-0778,2025-01-16,21,5320.6
SALE-0000197,PROD-00290,WH-IN-0010,2025-06-30,32,2309.58
SALE-0000198,PROD-00807,WH-IN-0037,2025-04-07,34,5778.7
SALE-0000199,PROD-00543,WH-IN-0176,2025-05-10,9,11922.57
SALE-0000200,PROD-00582,WH-IN-0638,2024-10-19,16,10006.39
SALE-0000201,PROD-00330,WH-IN-0762,2024-12-31,93,7735.2
SALE-0000202,PROD-00595,WH-IN-0336,2025-06-30,47,771.33
SALE-0000203,PROD-00317,WH-IN-0435,2024-10-08,7,4675.85
SALE-0000204,PROD-00834,WH-IN-0636,2025-03-10,66,2697.42
SALE-0000205,PROD-00108,WH-IN-0479,2025-06-27,93,2497.39
SALE-0000206,PROD-00039,WH-IN-0984,2025-07-04,62,9159.2
SALE-0000207,PROD-00237,WH-IN-0608,2025-02-02,91,10071.55
SALE-0000208,PROD-00531,WH-IN-0385,2025-02-24,38,1137.71
SALE-0000209,PROD-00314,WH-IN-0188,2024-10-08,47,3496.78
SALE-0000210,PROD-00245,WH-IN-0780,2024-09-03,15,3221.28
SALE-0000211,PROD-00525,WH-IN-0711,2024-11-12,45,8756.46
SALE-0000212,PROD-00134,WH-IN-0616,2025-02-27,16,2420.97
SALE-0000213,PROD-00699,WH-IN-0934,2025-02-06,36,5899.54
SALE-0000214,PROD-00004,WH-IN-0417,2025-03-22,9,2992.69
SALE-0000215,PROD-00348,WH-IN-0925,2025-01-26,65,9001.07
SALE-0000216,PROD-00761,WH-IN-0509,2025-04-26,54,12541.73
SALE-0000217,PROD-00602,WH-IN-0223,2025-01-18,83,6064.03
SALE-0000218,PROD-00862,WH-IN-0800,2025-02-17,72,1722.96
SALE-0000219,PROD-00598,WH-IN-0307,2025-01-24,24,8198.72
SALE-0000220,PROD-00812,WH-IN-0886,2024-11-30,93,5326.45
SALE-0000221,PROD-00853,WH-IN-0249,2025-02-14,60,2050.16
SALE-0000222,PROD-00591,WH-IN-0014,2025-03-08,99,5374.91
SALE-0000223,PROD-00168,WH-IN-0671,2025-04-26,78,4673.1
SALE-0000224,PROD-00901,WH-IN-0492,2024-09-21,99,6992.64
SALE-0000225,PROD-00093,WH-IN-0018,2024-10-31,35,6105.1
SALE-0000226,PROD-00175,WH-IN-0747,2025-05-28,27,4241.52
SALE-0000227,PROD-00150,WH-IN-0831,2024-10-26,26,2519.57
SALE-0000228,PROD-00860,WH-IN-0378,2025-03-18,56,5186.23
SALE-0000229,PROD-00310,WH-IN-0483,2025-05-08,81,157.71
SALE-0000230,PROD-00129,WH-IN-0404,2025-01-12,49,2755.37
SALE-0000231,PROD-00431,WH-IN-0966,2025-08-23,88,3382.1
SALE-0000232,PROD-00319,WH-IN-0672,2024-12-25,66,1046.75
SALE-0000233,PROD-00955,WH-IN-0896,2024-10-27,82,4369.22
SALE-0000234,PROD-00334,WH-IN-0799,2024-10-02,60,4249.31
SALE-0000235,PROD-00808,WH-IN-0537,2025-04-01,43,10821.39
SALE-0000236,PROD-00258,WH-IN-0566,2024-11-08,69,4832.35
SALE-0000237,PROD-00187,WH-IN-0075,2025-06-13,81,6782.01
SALE-0000238,PROD-00174,WH-IN-0256,2025-08-05,53,4136.68
SALE-0000239,PROD-00758,WH-IN-0661,2024-12-15,74,11607.52
SALE-0000240,PROD-00732,WH-IN-0292,2024-12-02,39,1479.51
SALE-0000241,PROD-00685,WH-IN-0181,2025-04-28,35,4957.21
SALE-0000242,PROD-00212,WH-IN-0529,2025-03-07,46,7890.38
SALE-0000243,PROD-00073,WH-IN-0265,2025-03-11,64,5255.32
SALE-0000244,PROD-00448,WH-IN-0161,2025-07-25,46,9034.74
SALE-0000245,PROD-00369,WH-IN-0456,2025-07-25,90,4773.36
SALE-0000246,PROD-00548,WH-IN-0291,2025-07-23,26,1495.9
SALE-0000247,PROD-00620,WH-IN-0056,2025-07-18,87,8108.14
SALE-0000248,PROD-00400,WH-IN-0737,2024-11-09,41,8196.8
SALE-0000249,PROD-00857,WH-IN-0853,2025-08-25,53,118.81
SALE-0000250,PROD-00652,WH-IN-0150,2025-01-02,13,5236.3
SALE-0000251,PROD-00933,WH-IN-0169,2024-11-10,30,557.44
SALE-0000252,PROD-00947,WH-IN-0003,2025-08-19,81,8307.03
SALE-0000253,PROD-00678,WH-IN-0515,2025-06-16,57,7637.6
SALE-0000254,PROD-00467,WH-IN-0762,2024-12-01,77,11603.49
SALE-0000255,PROD-00338,WH-IN-0719,2024-12-01,27,3486.86
SALE-0000256,PROD-00947,WH-IN-0576,2024-12-11,35,9796.46
SALE-0000257,PROD-00319,WH-IN-0189,2025-01-29,100,1082.73
SALE-0000258,PROD-00143,WH-IN-0250,2025-04-10,79,6913.47
SALE-0000259,PROD-00391,WH-IN-0072,2024-08-31,44,6996.55
SALE-0000260,PROD-00571,WH-IN-0288,2025-07-10,4,8784.32
SALE-0000261,PROD-00942,WH-IN-0766,2024-10-19,62,8105.58
SALE-0000262,PROD-00086,WH-IN-0487,2025-05-10,2,10814.66
SALE-0000263,PROD-00161,WH-IN-0630,2025-05-21,70,9325.0
SALE-0000264,PROD-00924,WH-IN-0156,2025-04-28,96,4106.66
SALE-0000265,PROD-00858,WH-IN-0886,2025-03-10,55,8316.06
SALE-0000266,PROD-00171,WH-IN-0052,2025-08-27,19,8239.33
SALE-0000267,PROD-00913,WH-IN-0002,2025-06-11,78,14210.46
SALE-0000268,PROD-00842,WH-IN-0285,2025-03-31,48,1815.71
SALE-0000269,PROD-00801,WH-IN-0047,2025-02-09,68,6282.99
SALE-0000270,PROD-00725,WH-IN-0610,2024-12-26,98,588.19
SALE-0000271,PROD-00474,WH-IN-0034,2024-12-16,8,6969.52
SALE-0000272,PROD-00229,WH-IN-0092,2024-09-25,10,4400.44
SALE-0000273,PROD-00292,WH-IN-0517,2024-10-05,47,12535.84
SALE-0000274,PROD-00241,WH-IN-0739,2025-04-11,64,7843.68
SALE-0000275,PROD-00502,WH-IN-0989,2025-01-06,19,10966.71
SALE-0000276,PROD-00666,WH-IN-0362,2024-09-20,90,4260.69
SALE-0000277,PROD-00896,WH-IN-0349,2025-02-25,1,10882.54
SALE-0000278,PROD-00886,WH-IN-0370,2025-02-08,15,3494.1
SALE-0000279,PROD-00189,WH-IN-0986,2025-02-06,3,2178.08
SALE-0000280,PROD-00651,WH-IN-0255,2025-03-23,28,6266.95
SALE-0000281,PROD-00137,WH-IN-0213,2025-06-10,5,6816.14
SALE-0000282,PROD-00487,WH-IN-0022,2024-12-17,49,3471.04
SALE-0000283,PROD-00883,WH-IN-0701,2025-01-19,79,7623.71
SALE-0000284,PROD-00478,WH-IN-0498,2024-12-14,97,2585.76
SALE-0000285,PROD-00759,WH-IN-0086,2025-05-18,30,8863.13
SALE-0000286,PROD-00405,WH-IN-0520,2025-07-01,97,3057.35
SALE-0000287,PROD-00759,WH-IN-0431,2024-11-19,59,6040.23
SALE-0000288,PROD-00408,WH-IN-0934,2024-12-18,69,1929.21
SALE-0000289,PROD-00199,WH-IN-0805,2025-02-02,11,10102.94
SALE-0000290,PROD-00236,WH-IN-0421,2025-08-19,43,2921.18
SALE-0000291,PROD-00832,WH-IN-0482,2025-01-05,40,12603.84
SALE-0000292,PROD-00445,WH-IN-0739,2025-03-21,82,1691.43
SALE-0000293,PROD-00793,WH-IN-0294,2024-10-31,38,2662.39
SALE-0000294,PROD-00778,WH-IN-0671,2025-05-16,67,11654.66
SALE-0000295,PROD-00570,WH-IN-0591,2025-05-04,1,5344.9
SALE-0000296,PROD-00455,WH-IN-0977,2024-10-24,39,6292.9
SALE-0000297,PROD-00662,WH-IN-0518,2025-03-08,71,3810.36
SALE-0000298,PROD-00929,WH-IN-0037,2024-09-09,34,11468.15
SALE-0000299,PROD-00250,WH-IN-0945,2025-02-22,40,4125.32
SALE-0000300,PROD-00464,WH-IN-0928,2025-05-02,28,8191.18
SALE-0000301,PROD-00796,WH-IN-0528,2024-10-08,35,5247.87
SALE-0000302,PROD-00467,WH-IN-0686,2025-03-28,9,14738.1
SALE-0000303,PROD-00359,WH-IN-0015,2025-02-08,75,4406.58
SALE-0000304,PROD-00112,WH-IN-0448,2025-03-07,15,1663.75
SALE-0000305,PROD-00240,WH-IN-0661,2025-08-29,32,13383.89
SALE-0000306,PROD-00370,WH-IN-0144,2025-08-22,89,4165.7
SALE-0000307,PROD-00226,WH-IN-0955,2025-05-22,92,5251.82
SALE-0000308,PROD-00359,WH-IN-0343,2025-07-29,82,3414.47
SALE-0000309,PROD-00377,WH-IN-0856,2024-10-20,48,1015.88
SALE-0000310,PROD-00637,WH-IN-0641,2024-09-30,98,928.9
SALE-0000311,PROD-00227,WH-IN-0086,2024-11-08,91,11711.69
SALE-0000312,PROD-00404,WH-IN-0180,2025-05-24,81,7238.88
SALE-0000313,PROD-00047,WH-IN-0335,2025-01-02,77,2507.64
SALE-0000314,PROD-00855,WH-IN-0819,2025-01-16,88,1172.05
SALE-0000315,PROD-00501,WH-IN-0502,2025-07-24,9,11737.13
SALE-0000316,PROD-00416,WH-IN-0242,2025-08-09,56,8192.65
SALE-0000317,PROD-00739,WH-IN-0058,2025-05-24,80,2288.81
SALE-0000318,PROD-00591,WH-IN-0516,2025-05-07,4,3996.06
SALE-0000319,PROD-00828,WH-IN-0324,2024-11-17,57,9285.19
SALE-0000320,PROD-00040,WH-IN-0023,2024-11-30,60,4455.69
SALE-0000321,PROD-00673,WH-IN-0758,2025-04-19,65,9885.45
SALE-0000322,PROD-00223,WH-IN-0966,2025-08-21,99,1369.99
SALE-0000323,PROD-00486,WH-IN-0116,2024-12-29,91,7495.11
SALE-0000324,PROD-00533,WH-IN-0198,2024-10-30,50,7711.66
SALE-0000325,PROD-00818,WH-IN-0910,2024-12-24,63,6171.35
SALE-0000326,PROD-00770,WH-IN-0726,2024-11-11,95,12976.93
SALE-0000327,PROD-00823,WH-IN-0783,2025-06-05,79,6488.68
SALE-0000328,PROD-00215,WH-IN-0831,2025-06-04,50,1668.47
SALE-0000329,PROD-00180,WH-IN-0423,2024-10-27,30,13563.7
SALE-0000330,PROD-00205,WH-IN-0766,2024-10-08,72,2083.05
SALE-0000331,PROD-00509,WH-IN-0862,2024-09-22,78,2517.15
SALE-0000332,PROD-00928,WH-IN-0052,2024-08-29,15,4347.7
SALE-0000333,PROD-00067,WH-IN-0377,2025-03-31,30,6065.58
SALE-0000334,PROD-00675,WH-IN-0556,2025-01-24,86,1042.06
SALE-0000335,PROD-00989,WH-IN-0928,2025-04-23,39,473.51
SALE-0000336,PROD-00496,WH-IN-0937,2025-05-03,32,2492.31
SALE-0000337,PROD-00696,WH-IN-0952,2025-04-15,3,5139.11
SALE-0000338,PROD-00347,WH-IN-0952,2024-11-23,26,3101.91
SALE-0000339,PROD-00684,WH-IN-0471,2025-01-13,30,9714.44
SALE-0000340,PROD-00527,WH-IN-0558,2025-02-07,11,4301.09
SALE-0000341,PROD-00673,WH-IN-0456,2024-12-24,59,7324.85
SALE-0000342,PROD-00917,WH-IN-0255,2025-05-30,45,5671.5
SALE-0000343,PROD-00514,WH-IN-0356,2025-07-07,3,4959.49
SALE-0000344,PROD-00074,WH-IN-0784,2024-12-16,11,5410.07
SALE-0000345,PROD-00856,WH-IN-0080,2025-06-29,10,5654.17
SALE-0000346,PROD-00367,WH-IN-0404,2025-03-19,73,589.67
SALE-0000347,PROD-00827,WH-IN-0162,2025-05-02,78,6132.74
SALE-0000348,PROD-00899,WH-IN-0875,2025-06-14,75,12334.16
SALE-0000349,PROD-00487,WH-IN-0427,2025-06-07,66,4469.99
SALE-0000350,PROD-00286,WH-IN-0755,2025-08-02,21,5116.35
SALE-0000351,PROD-00037,WH-IN-0514,2025-02-21,44,8635.57
SALE-0000352,PROD-00868,WH-IN-0060,2025-01-09,16,2546.52
SALE-0000353,PROD-00809,WH-IN-0617,2025-08-27,90,1343.36
SALE-0000354,PROD-00731,WH-IN-0677,2024-09-06,11,1023.94
SALE-0000355,PROD-00427,WH-IN-0996,2025-04-01,98,8272.56
SALE-0000356,PROD-00908,WH-IN-0300,2024-09-27,19,4421.51
SALE-0000357,PROD-00883,WH-IN-0890,2025-07-06,67,3648.6
SALE-0000358,PROD-00455,WH-IN-0116,2025-05-28,83,5124.58
SALE-0000359,PROD-00155,WH-IN-0220,2025-01-13,47,11240.26
SALE-0000360,PROD-00092,WH-IN-0931,2025-06-13,45,6537.43
SALE-0000361,PROD-00601,WH-IN-0185,2025-07-31,100,5993.9
SALE-0000362,PROD-00987,WH-IN-0995,2025-01-21,53,2972.89
SALE-0000363,PROD-00896,WH-IN-0147,2025-01-21,83,8506.13
SALE-0000364,PROD-00631,WH-IN-0721,2025-05-07,66,13451.27
SALE-0000365,PROD-00995,WH-IN-0876,2025-03-09,12,336.68
SALE-0000366,PROD-00272,WH-IN-0662,2025-01-05,54,6099.58
SALE-0000367,PROD-00864,WH-IN-0173,2025-05-06,37,3497.22
