confirmation_id,item_id,quantity,source_warehouse_id,destination_warehouse_id,schedule_date,estimated_arrival_date,status
RSTK-000021,PROD-00116,144,WH-IN-0770,WH-IN-0613,2025-09-02 19:59:12,2025-09-05 19:59:12,In Transit
RSTK-000022,PROD-00174,931,WH-IN-0673,WH-IN-0041,2025-09-08 19:59:12,2025-09-17 19:59:12,Scheduled
RSTK-000023,PROD-00225,193,WH-IN-0839,WH-IN-0194,2025-09-08 19:59:12,2025-09-14 19:59:12,In Transit
RSTK-000024,PROD-00702,821,WH-IN-0578,WH-IN-0180,2025-09-11 19:59:12,2025-09-17 19:59:12,In Transit
RSTK-000025,PROD-00113,222,WH-IN-0342,WH-IN-0664,2025-09-02 19:59:12,2025-09-03 19:59:12,Scheduled
RSTK-000026,PROD-00969,98,WH-IN-0884,WH-IN-0609,2025-09-03 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000027,PROD-00154,551,WH-IN-0881,WH-IN-0998,2025-09-07 19:59:12,2025-09-17 19:59:12,Delivered
RSTK-000028,PROD-00405,59,WH-IN-0260,WH-IN-0091,2025-09-05 19:59:12,2025-09-14 19:59:12,In Transit
RSTK-000029,PROD-00093,610,WH-IN-0535,WH-IN-0534,2025-09-11 19:59:12,2025-09-12 19:59:12,Cancelled
RSTK-000030,PROD-00858,828,WH-IN-0938,WH-IN-0955,2025-09-03 19:59:12,2025-09-07 19:59:12,Delivered
RSTK-000031,PROD-00843,873,WH-IN-0814,WH-IN-0591,2025-09-05 19:59:12,2025-09-11 19:59:12,Cancelled
RSTK-000032,PROD-00113,769,WH-IN-0610,WH-IN-0826,2025-09-03 19:59:12,2025-09-06 19:59:12,In Transit
RSTK-000033,PROD-00866,125,WH-IN-0185,WH-IN-0348,2025-08-30 19:59:12,2025-09-09 19:59:12,In Transit
RSTK-000034,PROD-00305,872,WH-IN-0898,WH-IN-0187,2025-09-05 19:59:12,2025-09-11 19:59:12,Delivered
RSTK-000035,PROD-00542,868,WH-IN-0630,WH-IN-0842,2025-08-31 19:59:12,2025-09-09 19:59:12,Scheduled
RSTK-000036,PROD-00108,487,WH-IN-0521,WH-IN-0487,2025-09-01 19:59:12,2025-09-04 19:59:12,Cancelled
RSTK-000037,PROD-00389,861,WH-IN-0097,WH-IN-0205,2025-09-07 19:59:12,2025-09-09 19:59:12,In Transit
RSTK-000038,PROD-00157,387,WH-IN-0256,WH-IN-0146,2025-09-06 19:59:12,2025-09-13 19:59:12,Scheduled
RSTK-000039,PROD-00450,551,WH-IN-0663,WH-IN-0142,2025-09-06 19:59:12,2025-09-11 19:59:12,In Transit
RSTK-000040,PROD-00436,106,WH-IN-0753,WH-IN-0451,2025-09-06 19:59:12,2025-09-10 19:59:12,Scheduled
RSTK-000041,PROD-00334,388,WH-IN-0839,WH-IN-0459,2025-09-11 19:59:12,2025-09-14 19:59:12,Delivered
RSTK-000042,PROD-00577,655,WH-IN-0711,WH-IN-0309,2025-08-31 19:59:12,2025-09-04 19:59:12,Delivered
RSTK-000043,PROD-00394,331,WH-IN-0718,WH-IN-0544,2025-09-02 19:59:12,2025-09-10 19:59:12,Delivered
RSTK-000044,PROD-00642,876,WH-IN-0327,WH-IN-0012,2025-09-03 19:59:12,2025-09-04 19:59:12,Scheduled
RSTK-000045,PROD-00791,133,WH-IN-0351,WH-IN-0550,2025-09-06 19:59:12,2025-09-14 19:59:12,Delivered
RSTK-000046,PROD-00775,657,WH-IN-0584,WH-IN-0678,2025-09-12 19:59:12,2025-09-18 19:59:12,In Transit
RSTK-000047,PROD-00725,169,WH-IN-0458,WH-IN-0503,2025-09-02 19:59:12,2025-09-11 19:59:12,Cancelled
RSTK-000048,PROD-00124,276,WH-IN-0617,WH-IN-0585,2025-09-09 19:59:12,2025-09-11 19:59:12,Cancelled
RSTK-000049,PROD-00756,151,WH-IN-0848,WH-IN-0926,2025-09-11 19:59:12,2025-09-21 19:59:12,Delivered
RSTK-000050,PROD-00981,780,WH-IN-0862,WH-IN-0094,2025-09-07 19:59:12,2025-09-11 19:59:12,In Transit
RSTK-000051,PROD-00752,820,WH-IN-0895,WH-IN-0859,2025-09-02 19:59:12,2025-09-06 19:59:12,In Transit
RSTK-000052,PROD-00872,645,WH-IN-0862,WH-IN-0982,2025-09-07 19:59:12,2025-09-11 19:59:12,Delivered
RSTK-000053,PROD-00034,107,WH-IN-0614,WH-IN-0769,2025-09-05 19:59:12,2025-09-11 19:59:12,In Transit
RSTK-000054,PROD-00211,839,WH-IN-0197,WH-IN-0503,2025-09-12 19:59:12,2025-09-22 19:59:12,Delivered
RSTK-000055,PROD-00239,336,WH-IN-0752,WH-IN-0203,2025-09-04 19:59:12,2025-09-12 19:59:12,In Transit
RSTK-000056,PROD-00699,512,WH-IN-0200,WH-IN-0229,2025-09-10 19:59:12,2025-09-14 19:59:12,In Transit
RSTK-000057,PROD-00541,113,WH-IN-0463,WH-IN-0133,2025-09-05 19:59:12,2025-09-10 19:59:12,In Transit
RSTK-000058,PROD-00569,873,WH-IN-0359,WH-IN-0958,2025-08-30 19:59:12,2025-09-09 19:59:12,Scheduled
RSTK-000059,PROD-00683,381,WH-IN-0573,WH-IN-0469,2025-09-04 19:59:12,2025-09-08 19:59:12,Cancelled
RSTK-000060,PROD-00814,259,WH-IN-0285,WH-IN-0413,2025-09-12 19:59:12,2025-09-13 19:59:12,In Transit
RSTK-000061,PROD-00955,888,WH-IN-0969,WH-IN-0307,2025-09-09 19:59:12,2025-09-19 19:59:12,In Transit
RSTK-000062,PROD-00247,683,WH-IN-0160,WH-IN-0425,2025-09-03 19:59:12,2025-09-09 19:59:12,Scheduled
RSTK-000063,PROD-00783,249,WH-IN-0684,WH-IN-0647,2025-08-30 19:59:12,2025-09-06 19:59:12,Delivered
RSTK-000064,PROD-00106,941,WH-IN-0892,WH-IN-0312,2025-08-31 19:59:12,2025-09-08 19:59:12,Cancelled
RSTK-000065,PROD-00893,648,WH-IN-0277,WH-IN-0296,2025-09-02 19:59:12,2025-09-03 19:59:12,Scheduled
RSTK-000066,PROD-00476,446,WH-IN-0211,WH-IN-0864,2025-09-12 19:59:12,2025-09-14 19:59:12,Scheduled
RSTK-000067,PROD-00832,664,WH-IN-0923,WH-IN-0034,2025-09-01 19:59:12,2025-09-08 19:59:12,Scheduled
RSTK-000068,PROD-00927,394,WH-IN-0834,WH-IN-0893,2025-09-08 19:59:12,2025-09-16 19:59:12,Delivered
RSTK-000069,PROD-00699,492,WH-IN-0889,WH-IN-0629,2025-09-03 19:59:12,2025-09-08 19:59:12,In Transit
RSTK-000070,PROD-00682,507,WH-IN-0813,WH-IN-0341,2025-09-07 19:59:12,2025-09-14 19:59:12,Delivered
RSTK-000071,PROD-00878,495,WH-IN-0918,WH-IN-0929,2025-09-01 19:59:12,2025-09-04 19:59:12,Delivered
RSTK-000072,PROD-00185,177,WH-IN-0816,WH-IN-0745,2025-09-03 19:59:12,2025-09-10 19:59:12,Cancelled
RSTK-000073,PROD-00285,684,WH-IN-0052,WH-IN-0858,2025-09-04 19:59:12,2025-09-06 19:59:12,Delivered
RSTK-000074,PROD-00402,497,WH-IN-0098,WH-IN-0024,2025-09-07 19:59:12,2025-09-11 19:59:12,Delivered
RSTK-000075,PROD-00471,617,WH-IN-0624,WH-IN-0794,2025-08-30 19:59:12,2025-08-31 19:59:12,Delivered
RSTK-000076,PROD-00463,172,WH-IN-0482,WH-IN-0362,2025-08-31 19:59:12,2025-09-01 19:59:12,Delivered
RSTK-000077,PROD-00679,145,WH-IN-0163,WH-IN-0984,2025-09-12 19:59:12,2025-09-19 19:59:12,In Transit
RSTK-000078,PROD-00302,580,WH-IN-0415,WH-IN-0821,2025-09-11 19:59:12,2025-09-19 19:59:12,Cancelled
RSTK-000079,PROD-00214,628,WH-IN-0019,WH-IN-0735,2025-09-01 19:59:12,2025-09-10 19:59:12,Scheduled
RSTK-000080,PROD-00891,324,WH-IN-0933,WH-IN-0155,2025-09-06 19:59:12,2025-09-08 19:59:12,In Transit
RSTK-000081,PROD-00128,257,WH-IN-0840,WH-IN-0128,2025-08-30 19:59:12,2025-09-02 19:59:12,Cancelled
RSTK-000082,PROD-00229,156,WH-IN-0927,WH-IN-0224,2025-09-12 19:59:12,2025-09-16 19:59:12,Cancelled
RSTK-000083,PROD-00945,333,WH-IN-0200,WH-IN-0974,2025-09-10 19:59:12,2025-09-15 19:59:12,Cancelled
RSTK-000084,PROD-00706,392,WH-IN-0418,WH-IN-0366,2025-08-31 19:59:12,2025-09-08 19:59:12,Delivered
RSTK-000085,PROD-00708,620,WH-IN-0698,WH-IN-0221,2025-09-07 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000086,PROD-00604,854,WH-IN-0533,WH-IN-0077,2025-09-12 19:59:12,2025-09-20 19:59:12,Scheduled
RSTK-000087,PROD-00130,291,WH-IN-0956,WH-IN-0381,2025-09-08 19:59:12,2025-09-10 19:59:12,Scheduled
RSTK-000088,PROD-00370,830,WH-IN-0838,WH-IN-0289,2025-08-31 19:59:12,2025-09-04 19:59:12,Cancelled
RSTK-000089,PROD-00673,965,WH-IN-0185,WH-IN-0348,2025-09-09 19:59:12,2025-09-19 19:59:12,In Transit
RSTK-000090,PROD-00858,237,WH-IN-0533,WH-IN-0901,2025-08-30 19:59:12,2025-09-06 19:59:12,Cancelled
RSTK-000091,PROD-00978,538,WH-IN-0720,WH-IN-0913,2025-08-31 19:59:12,2025-09-10 19:59:12,Scheduled
RSTK-000092,PROD-00121,769,WH-IN-0769,WH-IN-0805,2025-09-02 19:59:12,2025-09-05 19:59:12,In Transit
RSTK-000093,PROD-00021,469,WH-IN-0925,WH-IN-0664,2025-09-09 19:59:12,2025-09-17 19:59:12,Cancelled
RSTK-000094,PROD-00286,474,WH-IN-0022,WH-IN-0761,2025-09-11 19:59:12,2025-09-19 19:59:12,In Transit
RSTK-000095,PROD-00365,223,WH-IN-0358,WH-IN-0579,2025-08-30 19:59:12,2025-09-02 19:59:12,In Transit
RSTK-000096,PROD-00383,387,WH-IN-0220,WH-IN-0079,2025-09-03 19:59:12,2025-09-08 19:59:12,Scheduled
RSTK-000097,PROD-00273,204,WH-IN-0530,WH-IN-0843,2025-09-11 19:59:12,2025-09-21 19:59:12,Delivered
RSTK-000098,PROD-00569,433,WH-IN-0988,WH-IN-0769,2025-09-04 19:59:12,2025-09-09 19:59:12,Scheduled
RSTK-000099,PROD-00444,358,WH-IN-0763,WH-IN-0593,2025-09-12 19:59:12,2025-09-19 19:59:12,Delivered
RSTK-000100,PROD-00620,774,WH-IN-0836,WH-IN-0847,2025-09-05 19:59:12,2025-09-14 19:59:12,Delivered
RSTK-000101,PROD-00337,218,WH-IN-0195,WH-IN-0137,2025-09-03 19:59:12,2025-09-06 19:59:12,In Transit
RSTK-000102,PROD-00241,551,WH-IN-0378,WH-IN-0390,2025-09-10 19:59:12,2025-09-20 19:59:12,In Transit
RSTK-000103,PROD-00188,549,WH-IN-0920,WH-IN-0034,2025-09-11 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000104,PROD-00045,694,WH-IN-0158,WH-IN-0089,2025-08-30 19:59:12,2025-09-08 19:59:12,In Transit
RSTK-000105,PROD-00257,866,WH-IN-0161,WH-IN-0043,2025-09-07 19:59:12,2025-09-08 19:59:12,Delivered
RSTK-000106,PROD-00447,894,WH-IN-0515,WH-IN-0101,2025-09-07 19:59:12,2025-09-10 19:59:12,Cancelled
RSTK-000107,PROD-00692,199,WH-IN-0475,WH-IN-0022,2025-09-02 19:59:12,2025-09-05 19:59:12,Scheduled
RSTK-000108,PROD-00591,327,WH-IN-0598,WH-IN-0758,2025-09-03 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000109,PROD-00047,562,WH-IN-0526,WH-IN-0372,2025-09-10 19:59:12,2025-09-17 19:59:12,In Transit
RSTK-000110,PROD-00126,984,WH-IN-0373,WH-IN-0312,2025-08-31 19:59:12,2025-09-01 19:59:12,Delivered
RSTK-000111,PROD-00020,67,WH-IN-0665,WH-IN-0444,2025-08-30 19:59:12,2025-08-31 19:59:12,Delivered
RSTK-000112,PROD-00679,990,WH-IN-0074,WH-IN-0366,2025-09-10 19:59:12,2025-09-20 19:59:12,In Transit
RSTK-000113,PROD-00831,374,WH-IN-0651,WH-IN-0595,2025-09-11 19:59:12,2025-09-14 19:59:12,Scheduled
RSTK-000114,PROD-00196,273,WH-IN-0243,WH-IN-0984,2025-09-10 19:59:12,2025-09-18 19:59:12,In Transit
RSTK-000115,PROD-00945,990,WH-IN-0815,WH-IN-0433,2025-09-08 19:59:12,2025-09-11 19:59:12,Delivered
RSTK-000116,PROD-00564,123,WH-IN-0931,WH-IN-0662,2025-09-11 19:59:12,2025-09-17 19:59:12,Cancelled
RSTK-000117,PROD-00384,742,WH-IN-0006,WH-IN-0947,2025-09-09 19:59:12,2025-09-15 19:59:12,Cancelled
RSTK-000118,PROD-00780,982,WH-IN-0219,WH-IN-0008,2025-09-11 19:59:12,2025-09-21 19:59:12,Cancelled
RSTK-000119,PROD-00014,537,WH-IN-0947,WH-IN-0565,2025-08-30 19:59:12,2025-09-04 19:59:12,Scheduled
RSTK-000120,PROD-00521,108,WH-IN-0542,WH-IN-0735,2025-09-09 19:59:12,2025-09-15 19:59:12,Delivered
RSTK-000121,PROD-00419,507,WH-IN-0980,WH-IN-0575,2025-09-07 19:59:12,2025-09-08 19:59:12,Cancelled
RSTK-000122,PROD-00079,151,WH-IN-0275,WH-IN-0499,2025-08-30 19:59:12,2025-09-08 19:59:12,In Transit
RSTK-000123,PROD-00682,602,WH-IN-0868,WH-IN-0051,2025-09-04 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000124,PROD-00071,206,WH-IN-0909,WH-IN-0969,2025-09-05 19:59:12,2025-09-07 19:59:12,Cancelled
RSTK-000125,PROD-00824,92,WH-IN-0338,WH-IN-0237,2025-09-05 19:59:12,2025-09-06 19:59:12,Cancelled
RSTK-000126,PROD-00024,912,WH-IN-0231,WH-IN-0665,2025-09-08 19:59:12,2025-09-12 19:59:12,Scheduled
RSTK-000127,PROD-00784,665,WH-IN-0386,WH-IN-0732,2025-09-02 19:59:12,2025-09-08 19:59:12,Delivered
RSTK-000128,PROD-00471,66,WH-IN-0071,WH-IN-0516,2025-09-02 19:59:12,2025-09-11 19:59:12,In Transit
RSTK-000129,PROD-00246,138,WH-IN-0261,WH-IN-0143,2025-09-03 19:59:12,2025-09-08 19:59:12,Cancelled
RSTK-000130,PROD-00674,883,WH-IN-0601,WH-IN-0997,2025-09-11 19:59:12,2025-09-14 19:59:12,Delivered
RSTK-000131,PROD-00183,733,WH-IN-0822,WH-IN-0083,2025-08-30 19:59:12,2025-09-01 19:59:12,Cancelled
RSTK-000132,PROD-00263,926,WH-IN-0653,WH-IN-0188,2025-09-12 19:59:12,2025-09-19 19:59:12,Cancelled
RSTK-000133,PROD-00275,934,WH-IN-0034,WH-IN-0275,2025-09-04 19:59:12,2025-09-13 19:59:12,Delivered
RSTK-000134,PROD-00342,123,WH-IN-0207,WH-IN-0265,2025-09-05 19:59:12,2025-09-15 19:59:12,Cancelled
RSTK-000135,PROD-00415,937,WH-IN-0958,WH-IN-0413,2025-09-02 19:59:12,2025-09-10 19:59:12,Delivered
RSTK-000136,PROD-00293,527,WH-IN-0437,WH-IN-0104,2025-09-12 19:59:12,2025-09-18 19:59:12,Cancelled
RSTK-000137,PROD-00767,762,WH-IN-0570,WH-IN-0448,2025-08-31 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000138,PROD-00347,710,WH-IN-0350,WH-IN-0930,2025-09-04 19:59:12,2025-09-09 19:59:12,Delivered
RSTK-000139,PROD-00261,453,WH-IN-0892,WH-IN-0704,2025-09-06 19:59:12,2025-09-08 19:59:12,Delivered
RSTK-000140,PROD-00545,823,WH-IN-0517,WH-IN-0648,2025-09-10 19:59:12,2025-09-19 19:59:12,Delivered
RSTK-000141,PROD-00716,509,WH-IN-0408,WH-IN-0999,2025-09-06 19:59:12,2025-09-10 19:59:12,In Transit
RSTK-000142,PROD-00375,648,WH-IN-0384,WH-IN-0411,2025-09-12 19:59:12,2025-09-20 19:59:12,In Transit
RSTK-000143,PROD-00429,268,WH-IN-0525,WH-IN-0979,2025-09-11 19:59:12,2025-09-12 19:59:12,Scheduled
RSTK-000144,PROD-00580,732,WH-IN-0729,WH-IN-0670,2025-09-05 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000145,PROD-00845,238,WH-IN-0031,WH-IN-0599,2025-08-31 19:59:12,2025-09-08 19:59:12,Scheduled
RSTK-000146,PROD-00147,879,WH-IN-0065,WH-IN-0137,2025-09-11 19:59:12,2025-09-14 19:59:12,Cancelled
RSTK-000147,PROD-00541,784,WH-IN-0523,WH-IN-0758,2025-09-07 19:59:12,2025-09-12 19:59:12,Scheduled
RSTK-000148,PROD-00182,948,WH-IN-0152,WH-IN-0497,2025-08-31 19:59:12,2025-09-01 19:59:12,Scheduled
RSTK-000149,PROD-00686,251,WH-IN-0543,WH-IN-0130,2025-09-07 19:59:12,2025-09-08 19:59:12,Delivered
RSTK-000150,PROD-00092,860,WH-IN-0628,WH-IN-0640,2025-09-01 19:59:12,2025-09-09 19:59:12,Delivered
RSTK-000151,PROD-00077,572,WH-IN-0509,WH-IN-0627,2025-09-07 19:59:12,2025-09-12 19:59:12,Scheduled
RSTK-000152,PROD-00054,365,WH-IN-0929,WH-IN-0660,2025-08-31 19:59:12,2025-09-08 19:59:12,Scheduled
RSTK-000153,PROD-00046,292,WH-IN-0174,WH-IN-0886,2025-09-10 19:59:12,2025-09-20 19:59:12,Scheduled
RSTK-000154,PROD-00205,966,WH-IN-0612,WH-IN-0975,2025-09-03 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000155,PROD-00361,394,WH-IN-0732,WH-IN-0344,2025-09-03 19:59:12,2025-09-04 19:59:12,In Transit
RSTK-000156,PROD-00199,950,WH-IN-0377,WH-IN-0918,2025-09-01 19:59:12,2025-09-11 19:59:12,Scheduled
RSTK-000157,PROD-00414,519,WH-IN-0422,WH-IN-0893,2025-09-10 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000158,PROD-00308,87,WH-IN-0756,WH-IN-0446,2025-09-06 19:59:12,2025-09-16 19:59:12,In Transit
RSTK-000159,PROD-00700,851,WH-IN-0971,WH-IN-0014,2025-09-02 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000160,PROD-00155,598,WH-IN-0518,WH-IN-0744,2025-09-12 19:59:12,2025-09-21 19:59:12,Cancelled
RSTK-000161,PROD-00647,990,WH-IN-0647,WH-IN-0399,2025-09-06 19:59:12,2025-09-11 19:59:12,Cancelled
RSTK-000162,PROD-00981,106,WH-IN-0351,WH-IN-0792,2025-09-02 19:59:12,2025-09-12 19:59:12,Scheduled
RSTK-000163,PROD-00866,133,WH-IN-0817,WH-IN-0751,2025-09-04 19:59:12,2025-09-13 19:59:12,In Transit
RSTK-000164,PROD-00953,593,WH-IN-0345,WH-IN-0937,2025-09-01 19:59:12,2025-09-11 19:59:12,Delivered
RSTK-000165,PROD-00172,958,WH-IN-0813,WH-IN-0654,2025-08-30 19:59:12,2025-09-06 19:59:12,In Transit
RSTK-000166,PROD-00557,707,WH-IN-0779,WH-IN-0029,2025-09-06 19:59:12,2025-09-09 19:59:12,In Transit
RSTK-000167,PROD-00315,54,WH-IN-0060,WH-IN-0012,2025-08-31 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000168,PROD-00516,130,WH-IN-0783,WH-IN-0481,2025-09-08 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000169,PROD-00442,997,WH-IN-0529,WH-IN-0284,2025-09-02 19:59:12,2025-09-06 19:59:12,Delivered
RSTK-000170,PROD-00636,782,WH-IN-0233,WH-IN-0941,2025-08-31 19:59:12,2025-09-09 19:59:12,Scheduled
RSTK-000171,PROD-00369,879,WH-IN-0728,WH-IN-0072,2025-09-02 19:59:12,2025-09-03 19:59:12,Cancelled
RSTK-000172,PROD-00268,104,WH-IN-0636,WH-IN-0499,2025-09-03 19:59:12,2025-09-12 19:59:12,Delivered
RSTK-000173,PROD-00080,543,WH-IN-0211,WH-IN-0161,2025-09-02 19:59:12,2025-09-07 19:59:12,In Transit
RSTK-000174,PROD-00494,953,WH-IN-0884,WH-IN-0180,2025-08-31 19:59:12,2025-09-04 19:59:12,Cancelled
RSTK-000175,PROD-00133,577,WH-IN-0055,WH-IN-0960,2025-09-11 19:59:12,2025-09-14 19:59:12,Delivered
RSTK-000176,PROD-00549,406,WH-IN-0593,WH-IN-0503,2025-09-04 19:59:12,2025-09-05 19:59:12,In Transit
RSTK-000177,PROD-00003,703,WH-IN-0892,WH-IN-0538,2025-09-08 19:59:12,2025-09-17 19:59:12,Cancelled
RSTK-000178,PROD-00431,688,WH-IN-0879,WH-IN-0207,2025-09-09 19:59:12,2025-09-18 19:59:12,Delivered
RSTK-000179,PROD-00157,657,WH-IN-0621,WH-IN-0205,2025-09-10 19:59:12,2025-09-12 19:59:12,Scheduled
RSTK-000180,PROD-00812,750,WH-IN-0969,WH-IN-0750,2025-08-30 19:59:12,2025-09-09 19:59:12,In Transit
RSTK-000181,PROD-00832,455,WH-IN-0197,WH-IN-0932,2025-08-30 19:59:12,2025-09-01 19:59:12,Cancelled
RSTK-000182,PROD-00238,826,WH-IN-0023,WH-IN-0008,2025-09-06 19:59:12,2025-09-09 19:59:12,In Transit
RSTK-000183,PROD-00571,222,WH-IN-0485,WH-IN-0676,2025-09-05 19:59:12,2025-09-07 19:59:12,Cancelled
RSTK-000184,PROD-00265,727,WH-IN-0241,WH-IN-0739,2025-09-02 19:59:12,2025-09-05 19:59:12,Scheduled
RSTK-000185,PROD-00067,910,WH-IN-0592,WH-IN-0921,2025-09-12 19:59:12,2025-09-20 19:59:12,In Transit
RSTK-000186,PROD-00863,815,WH-IN-0366,WH-IN-0339,2025-09-01 19:59:12,2025-09-05 19:59:12,In Transit
RSTK-000187,PROD-00679,836,WH-IN-0620,WH-IN-0731,2025-09-07 19:59:12,2025-09-17 19:59:12,Delivered
RSTK-000188,PROD-00448,478,WH-IN-0703,WH-IN-0256,2025-09-02 19:59:12,2025-09-03 19:59:12,Scheduled
RSTK-000189,PROD-00218,156,WH-IN-0163,WH-IN-0635,2025-08-31 19:59:12,2025-09-04 19:59:12,Cancelled
RSTK-000190,PROD-00084,820,WH-IN-0913,WH-IN-0866,2025-09-12 19:59:12,2025-09-18 19:59:12,Scheduled
RSTK-000191,PROD-00414,494,WH-IN-0472,WH-IN-0919,2025-09-05 19:59:12,2025-09-10 19:59:12,Delivered
RSTK-000192,PROD-00231,865,WH-IN-0272,WH-IN-0520,2025-09-02 19:59:12,2025-09-11 19:59:12,Delivered
RSTK-000193,PROD-00819,755,WH-IN-0833,WH-IN-0853,2025-08-31 19:59:12,2025-09-04 19:59:12,In Transit
RSTK-000194,PROD-00564,103,WH-IN-0690,WH-IN-0085,2025-09-05 19:59:12,2025-09-10 19:59:12,Cancelled
RSTK-000195,PROD-00202,93,WH-IN-0967,WH-IN-0056,2025-09-11 19:59:12,2025-09-19 19:59:12,In Transit
RSTK-000196,PROD-00729,229,WH-IN-0571,WH-IN-0820,2025-09-02 19:59:12,2025-09-04 19:59:12,In Transit
RSTK-000197,PROD-00443,464,WH-IN-0808,WH-IN-0722,2025-08-30 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000198,PROD-00149,490,WH-IN-0099,WH-IN-0008,2025-09-11 19:59:12,2025-09-17 19:59:12,In Transit
RSTK-000199,PROD-00032,853,WH-IN-0490,WH-IN-0437,2025-09-05 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000200,PROD-00487,792,WH-IN-0254,WH-IN-0609,2025-09-01 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000201,PROD-00888,153,WH-IN-0177,WH-IN-0196,2025-09-07 19:59:12,2025-09-17 19:59:12,Delivered
RSTK-000202,PROD-00908,341,WH-IN-0004,WH-IN-0852,2025-08-30 19:59:12,2025-09-07 19:59:12,Cancelled
RSTK-000203,PROD-00172,248,WH-IN-0998,WH-IN-0936,2025-09-11 19:59:12,2025-09-19 19:59:12,In Transit
RSTK-000204,PROD-00453,682,WH-IN-0285,WH-IN-0866,2025-09-05 19:59:12,2025-09-08 19:59:12,Delivered
RSTK-000205,PROD-00064,839,WH-IN-0194,WH-IN-0460,2025-08-30 19:59:12,2025-09-06 19:59:12,Delivered
RSTK-000206,PROD-00390,235,WH-IN-0709,WH-IN-0102,2025-09-05 19:59:12,2025-09-13 19:59:12,Delivered
RSTK-000207,PROD-00598,526,WH-IN-0721,WH-IN-0272,2025-09-06 19:59:12,2025-09-09 19:59:12,Delivered
RSTK-000208,PROD-00232,288,WH-IN-0462,WH-IN-0773,2025-09-05 19:59:12,2025-09-06 19:59:12,Cancelled
RSTK-000209,PROD-00122,799,WH-IN-0707,WH-IN-0882,2025-09-01 19:59:12,2025-09-09 19:59:12,Cancelled
