stock_id,warehouse_id,item_id,current_quantity,last_updated
STK-000038,WH-IN-0749,PROD-00878,1371,2025-08-26 19:59:12
STK-000039,WH-IN-0477,PROD-00517,39,2025-08-10 19:59:12
STK-000040,WH-IN-0155,PROD-00314,655,2025-08-14 19:59:12
STK-000041,WH-IN-0672,PROD-00206,610,2025-08-22 19:59:12
STK-000042,WH-IN-0909,PROD-00698,648,2025-08-10 19:59:12
STK-000043,WH-IN-0732,PROD-00008,33,2025-08-16 19:59:12
STK-000044,WH-IN-0656,PROD-00218,1093,2025-08-19 19:59:12
STK-000045,WH-IN-0843,PROD-00873,64,2025-08-18 19:59:12
STK-000046,WH-IN-0339,PROD-00120,1369,2025-08-21 19:59:12
STK-000047,WH-IN-0461,PROD-00599,1864,2025-08-25 19:59:12
STK-000048,WH-IN-0631,PROD-00360,106,2025-07-30 19:59:12
STK-000049,WH-IN-0418,PROD-00734,1253,2025-08-08 19:59:12
STK-000050,WH-IN-0503,PROD-00279,686,2025-08-18 19:59:12
STK-000051,WH-IN-0325,PROD-00537,398,2025-08-13 19:59:12
STK-000052,WH-IN-0472,PROD-00632,844,2025-08-16 19:59:12
STK-000053,WH-IN-0959,PROD-00399,778,2025-08-04 19:59:12
STK-000054,WH-IN-0433,PROD-00441,257,2025-08-22 19:59:12
STK-000055,WH-IN-0037,PROD-00244,390,2025-08-02 19:59:12
STK-000056,WH-IN-0997,PROD-00013,117,2025-08-03 19:59:12
STK-000057,WH-IN-0355,PROD-00204,991,2025-08-23 19:59:12
STK-000058,WH-IN-0299,PROD-00025,1856,2025-08-29 19:59:12
STK-000059,WH-IN-0896,PROD-00929,1491,2025-08-23 19:59:12
STK-000060,WH-IN-0940,PROD-00296,928,2025-08-27 19:59:12
STK-000061,WH-IN-0812,PROD-00069,1050,2025-08-18 19:59:12
STK-000062,WH-IN-0516,PROD-00175,1632,2025-08-28 19:59:12
STK-000063,WH-IN-0242,PROD-00601,924,2025-08-08 19:59:12
STK-000064,WH-IN-0327,PROD-00859,982,2025-08-12 19:59:12
STK-000065,WH-IN-0296,PROD-00542,389,2025-07-30 19:59:12
STK-000066,WH-IN-0381,PROD-00244,988,2025-08-10 19:59:12
STK-000067,WH-IN-0820,PROD-00240,127,2025-08-17 19:59:12
STK-000068,WH-IN-0995,PROD-00518,984,2025-08-11 19:59:12
STK-000069,WH-IN-0375,PROD-00177,1184,2025-07-31 19:59:12
STK-000070,WH-IN-0992,PROD-00415,436,2025-08-06 19:59:12
STK-000071,WH-IN-0525,PROD-00704,1257,2025-08-20 19:59:12
STK-000072,WH-IN-0625,PROD-00267,698,2025-08-10 19:59:12
STK-000073,WH-IN-0813,PROD-00869,1652,2025-08-01 19:59:12
STK-000074,WH-IN-0934,PROD-00769,1173,2025-08-26 19:59:12
STK-000075,WH-IN-0780,PROD-00522,733,2025-08-03 19:59:12
STK-000076,WH-IN-0230,PROD-00226,567,2025-08-04 19:59:12
STK-000077,WH-IN-0489,PROD-00616,994,2025-08-12 19:59:12
STK-000078,WH-IN-0352,PROD-00043,80,2025-08-17 19:59:12
STK-000079,WH-IN-0893,PROD-00165,431,2025-08-19 19:59:12
STK-000080,WH-IN-0587,PROD-00217,557,2025-08-02 19:59:12
STK-000081,WH-IN-0105,PROD-00191,1476,2025-08-12 19:59:12
STK-000082,WH-IN-0932,PROD-00051,1035,2025-08-11 19:59:12
STK-000083,WH-IN-0799,PROD-00327,632,2025-08-16 19:59:12
STK-000084,WH-IN-0310,PROD-00722,682,2025-08-16 19:59:12
STK-000085,WH-IN-0231,PROD-00870,1878,2025-08-06 19:59:12
STK-000086,WH-IN-0645,PROD-00645,447,2025-08-03 19:59:12
STK-000087,WH-IN-0917,PROD-00592,1123,2025-08-11 19:59:12
STK-000088,WH-IN-0936,PROD-00779,1234,2025-08-14 19:59:12
STK-000089,WH-IN-0422,PROD-00733,1749,2025-08-27 19:59:12
STK-000090,WH-IN-0919,PROD-00556,866,2025-08-10 19:59:12
STK-000091,WH-IN-0081,PROD-00822,1524,2025-08-06 19:59:12
STK-000092,WH-IN-0196,PROD-00585,300,2025-08-28 19:59:12
STK-000093,WH-IN-0166,PROD-00526,702,2025-08-26 19:59:12
STK-000094,WH-IN-0120,PROD-00423,1743,2025-08-11 19:59:12
STK-000095,WH-IN-0246,PROD-00427,649,2025-08-11 19:59:12
STK-000096,WH-IN-0094,PROD-00504,569,2025-08-19 19:59:12
STK-000097,WH-IN-0968,PROD-00680,1755,2025-08-10 19:59:12
STK-000098,WH-IN-0909,PROD-00220,1636,2025-08-29 19:59:12
STK-000099,WH-IN-0144,PROD-00745,219,2025-08-14 19:59:12
STK-000100,WH-IN-0934,PROD-00290,1678,2025-08-06 19:59:12
STK-000101,WH-IN-0175,PROD-00402,1140,2025-08-24 19:59:12
STK-000102,WH-IN-0309,PROD-00869,804,2025-08-15 19:59:12
STK-000103,WH-IN-0266,PROD-00109,473,2025-08-14 19:59:12
STK-000104,WH-IN-0970,PROD-00269,1139,2025-08-03 19:59:12
STK-000105,WH-IN-0245,PROD-00918,837,2025-08-28 19:59:12
STK-000106,WH-IN-0004,PROD-00138,1891,2025-08-24 19:59:12
STK-000107,WH-IN-0274,PROD-00145,452,2025-08-18 19:59:12
STK-000108,WH-IN-0578,PROD-00223,1291,2025-08-21 19:59:12
STK-000109,WH-IN-0886,PROD-00074,1475,2025-08-11 19:59:12
STK-000110,WH-IN-0464,PROD-00200,1274,2025-08-26 19:59:12
STK-000111,WH-IN-0490,PROD-00755,1612,2025-08-08 19:59:12
STK-000112,WH-IN-0849,PROD-00294,1707,2025-08-04 19:59:12
STK-000113,WH-IN-0272,PROD-00269,821,2025-08-15 19:59:12
STK-000114,WH-IN-0429,PROD-00766,363,2025-08-14 19:59:12
STK-000115,WH-IN-0881,PROD-00627,984,2025-08-22 19:59:12
STK-000116,WH-IN-0015,PROD-00061,247,2025-08-27 19:59:12
STK-000117,WH-IN-0480,PROD-00118,1497,2025-08-18 19:59:12
STK-000118,WH-IN-0653,PROD-00691,1214,2025-08-17 19:59:12
STK-000119,WH-IN-0238,PROD-00720,995,2025-07-30 19:59:12
STK-000120,WH-IN-0701,PROD-00442,1170,2025-08-19 19:59:12
STK-000121,WH-IN-0349,PROD-00484,1400,2025-08-08 19:59:12
STK-000122,WH-IN-0408,PROD-00303,407,2025-08-10 19:59:12
STK-000123,WH-IN-0425,PROD-00801,335,2025-08-02 19:59:12
STK-000124,WH-IN-0217,PROD-00577,1880,2025-08-29 19:59:12
STK-000125,WH-IN-0100,PROD-00334,270,2025-08-03 19:59:12
STK-000126,WH-IN-0713,PROD-00033,253,2025-07-31 19:59:12
STK-000127,WH-IN-0948,PROD-00357,1860,2025-08-05 19:59:12
STK-000128,WH-IN-0175,PROD-00463,485,2025-08-09 19:59:12
STK-000129,WH-IN-0868,PROD-00623,722,2025-08-10 19:59:12
STK-000130,WH-IN-0596,PROD-00194,339,2025-07-30 19:59:12
STK-000131,WH-IN-0058,PROD-00848,860,2025-08-25 19:59:12
STK-000132,WH-IN-0211,PROD-00982,560,2025-08-05 19:59:12
STK-000133,WH-IN-0446,PROD-00081,646,2025-08-24 19:59:12
STK-000134,WH-IN-0624,PROD-00226,864,2025-08-16 19:59:12
STK-000135,WH-IN-0328,PROD-00521,1006,2025-08-05 19:59:12
STK-000136,WH-IN-0541,PROD-00521,1510,2025-08-08 19:59:12
STK-000137,WH-IN-0892,PROD-00519,1684,2025-08-18 19:59:12
STK-000138,WH-IN-0812,PROD-00539,1002,2025-08-21 19:59:12
STK-000139,WH-IN-0774,PROD-00893,1410,2025-08-20 19:59:12
STK-000140,WH-IN-0314,PROD-00330,1800,2025-07-31 19:59:12
STK-000141,WH-IN-0241,PROD-00336,775,2025-08-02 19:59:12
STK-000142,WH-IN-0606,PROD-00177,1193,2025-08-10 19:59:12
STK-000143,WH-IN-0121,PROD-00065,247,2025-07-31 19:59:12
STK-000144,WH-IN-0572,PROD-00617,1035,2025-08-02 19:59:12
STK-000145,WH-IN-0141,PROD-00032,53,2025-08-07 19:59:12
STK-000146,WH-IN-0136,PROD-00989,1889,2025-08-08 19:59:12
STK-000147,WH-IN-0871,PROD-00768,779,2025-08-07 19:59:12
STK-000148,WH-IN-0669,PROD-00531,412,2025-08-12 19:59:12
STK-000149,WH-IN-0864,PROD-00391,226,2025-08-25 19:59:12
STK-000150,WH-IN-0164,PROD-00328,578,2025-08-19 19:59:12
STK-000151,WH-IN-0067,PROD-00422,539,2025-08-21 19:59:12
STK-000152,WH-IN-0767,PROD-00801,1851,2025-08-24 19:59:12
STK-000153,WH-IN-0884,PROD-00988,1620,2025-08-12 19:59:12
STK-000154,WH-IN-0638,PROD-00559,102,2025-08-11 19:59:12
STK-000155,WH-IN-0452,PROD-00155,123,2025-08-22 19:59:12
STK-000156,WH-IN-0357,PROD-00327,1893,2025-08-23 19:59:12
STK-000157,WH-IN-0407,PROD-00597,604,2025-08-22 19:59:12
STK-000158,WH-IN-0242,PROD-00758,1713,2025-08-06 19:59:12
STK-000159,WH-IN-0337,PROD-00945,1778,2025-08-13 19:59:12
STK-000160,WH-IN-0948,PROD-00426,732,2025-08-26 19:59:12
STK-000161,WH-IN-0684,PROD-00655,383,2025-08-29 19:59:12
STK-000162,WH-IN-0181,PROD-00427,1383,2025-08-18 19:59:12
STK-000163,WH-IN-0330,PROD-00274,262,2025-08-10 19:59:12
STK-000164,WH-IN-0238,PROD-00889,650,2025-08-28 19:59:12
STK-000165,WH-IN-0142,PROD-00018,1024,2025-08-13 19:59:12
STK-000166,WH-IN-0853,PROD-00404,1661,2025-08-12 19:59:12
STK-000167,WH-IN-0524,PROD-00725,1587,2025-08-17 19:59:12
STK-000168,WH-IN-0561,PROD-00659,1589,2025-08-24 19:59:12
STK-000169,WH-IN-0386,PROD-00739,147,2025-08-14 19:59:12
STK-000170,WH-IN-0621,PROD-00424,760,2025-08-24 19:59:12
STK-000171,WH-IN-0627,PROD-00841,1415,2025-08-02 19:59:12
STK-000172,WH-IN-0129,PROD-00566,675,2025-08-02 19:59:12
STK-000173,WH-IN-0555,PROD-00034,864,2025-07-31 19:59:12
STK-000174,WH-IN-0232,PROD-00959,1168,2025-08-28 19:59:12
STK-000175,WH-IN-0442,PROD-00356,983,2025-08-27 19:59:12
STK-000176,WH-IN-0906,PROD-00803,303,2025-08-22 19:59:12
STK-000177,WH-IN-0652,PROD-00521,1461,2025-08-04 19:59:12
STK-000178,WH-IN-0749,PROD-00310,572,2025-08-20 19:59:12
STK-000179,WH-IN-0360,PROD-00822,715,2025-08-25 19:59:12
STK-000180,WH-IN-0600,PROD-00143,71,2025-08-23 19:59:12
STK-000181,WH-IN-0281,PROD-00173,1752,2025-08-29 19:59:12
STK-000182,WH-IN-0500,PROD-00921,45,2025-08-06 19:59:12
STK-000183,WH-IN-0304,PROD-00675,1728,2025-08-24 19:59:12
STK-000184,WH-IN-0714,PROD-00328,176,2025-08-25 19:59:12
STK-000185,WH-IN-0613,PROD-00631,407,2025-08-16 19:59:12
STK-000186,WH-IN-0782,PROD-00091,223,2025-08-04 19:59:12
STK-000187,WH-IN-0744,PROD-00952,1107,2025-08-28 19:59:12
STK-000188,WH-IN-0082,PROD-00319,1890,2025-08-09 19:59:12
STK-000189,WH-IN-0244,PROD-00295,709,2025-08-16 19:59:12
STK-000190,WH-IN-0611,PROD-00378,982,2025-08-27 19:59:12
STK-000191,WH-IN-0869,PROD-00879,1588,2025-08-27 19:59:12
STK-000192,WH-IN-0096,PROD-00933,234,2025-07-30 19:59:12
STK-000193,WH-IN-0238,PROD-00307,1477,2025-08-21 19:59:12
STK-000194,WH-IN-0355,PROD-00922,1202,2025-08-16 19:59:12
STK-000195,WH-IN-0956,PROD-00176,1836,2025-07-30 19:59:12
STK-000196,WH-IN-0806,PROD-00960,335,2025-08-20 19:59:12
STK-000197,WH-IN-0951,PROD-00285,1594,2025-08-20 19:59:12
STK-000198,WH-IN-0514,PROD-00330,1518,2025-08-23 19:59:12
STK-000199,WH-IN-0850,PROD-00443,1088,2025-07-30 19:59:12
STK-000200,WH-IN-0749,PROD-00617,1375,2025-08-07 19:59:12
STK-000201,WH-IN-0760,PROD-00080,1967,2025-08-09 19:59:12
STK-000202,WH-IN-0377,PROD-00105,1068,2025-08-13 19:59:12
STK-000203,WH-IN-0622,PROD-00302,1426,2025-08-09 19:59:12
STK-000204,WH-IN-0034,PROD-00456,611,2025-08-19 19:59:12
STK-000205,WH-IN-0035,PROD-00418,826,2025-08-09 19:59:12
STK-000206,WH-IN-0850,PROD-00401,668,2025-08-04 19:59:12
STK-000207,WH-IN-0576,PROD-00842,66,2025-08-12 19:59:12
STK-000208,WH-IN-0760,PROD-00481,336,2025-08-07 19:59:12
STK-000209,WH-IN-0066,PROD-00218,1951,2025-08-07 19:59:12
STK-000210,WH-IN-0734,PROD-00795,840,2025-08-15 19:59:12
STK-000211,WH-IN-0151,PROD-00255,1108,2025-08-21 19:59:12
STK-000212,WH-IN-0038,PROD-00846,2000,2025-08-13 19:59:12
STK-000213,WH-IN-0326,PROD-00083,1416,2025-08-11 19:59:12
STK-000214,WH-IN-0018,PROD-00262,481,2025-08-14 19:59:12
STK-000215,WH-IN-0340,PROD-00236,369,2025-08-01 19:59:12
STK-000216,WH-IN-0426,PROD-00838,306,2025-08-23 19:59:12
STK-000217,WH-IN-0213,PROD-00053,213,2025-08-03 19:59:12
STK-000218,WH-IN-0032,PROD-00266,1825,2025-08-17 19:59:12
STK-000219,WH-IN-0672,PROD-00700,1841,2025-08-07 19:59:12
STK-000220,WH-IN-0553,PROD-00035,295,2025-07-30 19:59:12
STK-000221,WH-IN-0528,PROD-00728,129,2025-08-17 19:59:12
STK-000222,WH-IN-0557,PROD-00394,413,2025-08-23 19:59:12
STK-000223,WH-IN-0235,PROD-00742,1340,2025-08-28 19:59:12
STK-000224,WH-IN-0479,PROD-00898,672,2025-08-18 19:59:12
STK-000225,WH-IN-0834,PROD-00387,1342,2025-08-27 19:59:12
STK-000226,WH-IN-0687,PROD-00602,401,2025-08-17 19:59:12
STK-000227,WH-IN-0544,PROD-00014,1618,2025-07-30 19:59:12
STK-000228,WH-IN-0955,PROD-00077,620,2025-08-18 19:59:12
STK-000229,WH-IN-0389,PROD-00894,1054,2025-08-12 19:59:12
STK-000230,WH-IN-0238,PROD-00649,1100,2025-08-14 19:59:12
STK-000231,WH-IN-0233,PROD-00185,1379,2025-08-21 19:59:12
STK-000232,WH-IN-0786,PROD-00823,1333,2025-08-29 19:59:12
STK-000233,WH-IN-0553,PROD-00897,543,2025-08-06 19:59:12
STK-000234,WH-IN-0145,PROD-00861,1566,2025-08-25 19:59:12
STK-000235,WH-IN-0091,PROD-00509,250,2025-08-16 19:59:12
STK-000236,WH-IN-0613,PROD-00450,1240,2025-08-28 19:59:12
STK-000237,WH-IN-0965,PROD-00119,1248,2025-08-06 19:59:12
STK-000238,WH-IN-0034,PROD-00952,1618,2025-08-01 19:59:12
STK-000239,WH-IN-0210,PROD-00581,1250,2025-08-22 19:59:12
STK-000240,WH-IN-0044,PROD-00853,1578,2025-08-25 19:59:12
STK-000241,WH-IN-0893,PROD-00142,1590,2025-08-28 19:59:12
STK-000242,WH-IN-0294,PROD-00182,938,2025-08-28 19:59:12
STK-000243,WH-IN-0619,PROD-00900,53,2025-08-29 19:59:12
STK-000244,WH-IN-0375,PROD-00866,1762,2025-08-04 19:59:12
STK-000245,WH-IN-0643,PROD-00548,1085,2025-08-16 19:59:12
STK-000246,WH-IN-0019,PROD-00770,1978,2025-07-30 19:59:12
STK-000247,WH-IN-0343,PROD-00845,1502,2025-07-31 19:59:12
STK-000248,WH-IN-0249,PROD-00911,757,2025-08-02 19:59:12
STK-000249,WH-IN-0898,PROD-00065,1576,2025-08-16 19:59:12
STK-000250,WH-IN-0484,PROD-00171,763,2025-08-24 19:59:12
STK-000251,WH-IN-0961,PROD-00374,585,2025-08-05 19:59:12
STK-000252,WH-IN-0654,PROD-00760,1055,2025-08-26 19:59:12
STK-000253,WH-IN-0321,PROD-00245,1608,2025-08-26 19:59:12
STK-000254,WH-IN-0644,PROD-00708,1697,2025-08-15 19:59:12
STK-000255,WH-IN-0794,PROD-00632,904,2025-08-09 19:59:12
STK-000256,WH-IN-0924,PROD-00291,1933,2025-08-27 19:59:12
STK-000257,WH-IN-0553,PROD-00218,782,2025-08-01 19:59:12
STK-000258,WH-IN-0910,PROD-00826,331,2025-08-16 19:59:12
STK-000259,WH-IN-0026,PROD-00876,934,2025-08-04 19:59:12
STK-000260,WH-IN-0974,PROD-00486,313,2025-08-29 19:59:12
STK-000261,WH-IN-0616,PROD-00816,1916,2025-08-04 19:59:12
STK-000262,WH-IN-0670,PROD-00276,490,2025-08-20 19:59:12
STK-000263,WH-IN-0420,PROD-00389,37,2025-08-09 19:59:12
STK-000264,WH-IN-0262,PROD-00429,928,2025-08-27 19:59:12
STK-000265,WH-IN-0139,PROD-00178,17,2025-08-08 19:59:12
STK-000266,WH-IN-0271,PROD-00385,729,2025-08-20 19:59:12
STK-000267,WH-IN-0342,PROD-00646,457,2025-08-02 19:59:12
STK-000268,WH-IN-0060,PROD-00343,46,2025-08-27 19:59:12
STK-000269,WH-IN-0834,PROD-00519,983,2025-08-27 19:59:12
STK-000270,WH-IN-0506,PROD-00346,607,2025-08-04 19:59:12
STK-000271,WH-IN-0815,PROD-00006,721,2025-08-22 19:59:12
STK-000272,WH-IN-1000,PROD-00015,1105,2025-07-31 19:59:12
STK-000273,WH-IN-0375,PROD-00989,1253,2025-08-10 19:59:12
STK-000274,WH-IN-0368,PROD-00457,1516,2025-08-13 19:59:12
STK-000275,WH-IN-0570,PROD-00525,1439,2025-08-03 19:59:12
STK-000276,WH-IN-0541,PROD-00442,1435,2025-08-29 19:59:12
STK-000277,WH-IN-0768,PROD-00533,1980,2025-08-07 19:59:12
STK-000278,WH-IN-0585,PROD-00816,1989,2025-08-05 19:59:12
STK-000279,WH-IN-0494,PROD-00931,1165,2025-08-03 19:59:12
STK-000280,WH-IN-0004,PROD-00640,558,2025-08-19 19:59:12
STK-000281,WH-IN-0479,PROD-00973,1654,2025-08-08 19:59:12
STK-000282,WH-IN-0469,PROD-00478,933,2025-08-12 19:59:12
STK-000283,WH-IN-0138,PROD-00321,1225,2025-08-04 19:59:12
STK-000284,WH-IN-0326,PROD-00115,793,2025-08-02 19:59:12
STK-000285,WH-IN-0291,PROD-00379,712,2025-08-20 19:59:12
STK-000286,WH-IN-0232,PROD-00697,393,2025-08-08 19:59:12
STK-000287,WH-IN-0341,PROD-00798,1739,2025-08-23 19:59:12
STK-000288,WH-IN-0358,PROD-00075,1153,2025-08-09 19:59:12
STK-000289,WH-IN-0903,PROD-00385,1805,2025-08-21 19:59:12
STK-000290,WH-IN-0690,PROD-00560,1680,2025-08-12 19:59:12
STK-000291,WH-IN-0425,PROD-00690,1178,2025-08-19 19:59:12
STK-000292,WH-IN-0560,PROD-00386,1423,2025-08-21 19:59:12
STK-000293,WH-IN-0062,PROD-00532,929,2025-08-14 19:59:12
STK-000294,WH-IN-0520,PROD-00920,227,2025-08-15 19:59:12
STK-000295,WH-IN-0776,PROD-00716,1953,2025-08-23 19:59:12
STK-000296,WH-IN-0808,PROD-00427,647,2025-08-02 19:59:12
STK-000297,WH-IN-0059,PROD-00033,765,2025-08-20 19:59:12
STK-000298,WH-IN-0060,PROD-00929,1954,2025-08-18 19:59:12
STK-000299,WH-IN-0748,PROD-00390,1043,2025-07-30 19:59:12
STK-000300,WH-IN-0094,PROD-00243,252,2025-08-09 19:59:12
STK-000301,WH-IN-0394,PROD-00607,1424,2025-08-01 19:59:12
STK-000302,WH-IN-0709,PROD-00205,1814,2025-08-11 19:59:12
STK-000303,WH-IN-0854,PROD-00360,379,2025-08-19 19:59:12
STK-000304,WH-IN-0500,PROD-00422,445,2025-08-03 19:59:12
STK-000305,WH-IN-0280,PROD-00142,691,2025-08-28 19:59:12
STK-000306,WH-IN-0823,PROD-00054,612,2025-08-05 19:59:12
STK-000307,WH-IN-0901,PROD-00406,1821,2025-08-11 19:59:12
STK-000308,WH-IN-0773,PROD-00509,1170,2025-08-26 19:59:12
STK-000309,WH-IN-0311,PROD-00590,610,2025-07-31 19:59:12
STK-000310,WH-IN-0011,PROD-00417,1435,2025-08-19 19:59:12
STK-000311,WH-IN-0901,PROD-00861,582,2025-08-25 19:59:12
STK-000312,WH-IN-0965,PROD-00306,442,2025-08-17 19:59:12
STK-000313,WH-IN-0833,PROD-00672,621,2025-08-03 19:59:12
STK-000314,WH-IN-0953,PROD-00847,327,2025-08-22 19:59:12
STK-000315,WH-IN-0426,PROD-00921,1337,2025-08-17 19:59:12
STK-000316,WH-IN-0776,PROD-00375,748,2025-08-21 19:59:12
STK-000317,WH-IN-0721,PROD-00545,680,2025-08-15 19:59:12
STK-000318,WH-IN-0103,PROD-00058,54,2025-08-23 19:59:12
STK-000319,WH-IN-0847,PROD-00391,656,2025-08-11 19:59:12
STK-000320,WH-IN-0127,PROD-00610,943,2025-08-22 19:59:12
STK-000321,WH-IN-0538,PROD-00269,627,2025-08-21 19:59:12
STK-000322,WH-IN-0332,PROD-00312,1416,2025-08-10 19:59:12
STK-000323,WH-IN-0587,PROD-00751,1834,2025-08-16 19:59:12
STK-000324,WH-IN-0039,PROD-00926,1715,2025-07-31 19:59:12
STK-000325,WH-IN-0819,PROD-00939,883,2025-08-07 19:59:12
STK-000326,WH-IN-0049,PROD-00975,500,2025-08-01 19:59:12
STK-000327,WH-IN-0973,PROD-00804,1479,2025-07-31 19:59:12
STK-000328,WH-IN-0156,PROD-00185,997,2025-08-06 19:59:12
STK-000329,WH-IN-0192,PROD-00995,1603,2025-08-17 19:59:12
STK-000330,WH-IN-0719,PROD-00426,775,2025-08-11 19:59:12
STK-000331,WH-IN-0850,PROD-00933,589,2025-08-15 19:59:12
STK-000332,WH-IN-0635,PROD-00651,1668,2025-08-06 19:59:12
STK-000333,WH-IN-0045,PROD-00470,24,2025-08-20 19:59:12
STK-000334,WH-IN-0449,PROD-00803,1977,2025-08-10 19:59:12
STK-000335,WH-IN-0399,PROD-00051,662,2025-08-06 19:59:12
STK-000336,WH-IN-0413,PROD-00276,354,2025-08-08 19:59:12
STK-000337,WH-IN-0356,PROD-00056,352,2025-08-20 19:59:12
STK-000338,WH-IN-0291,PROD-00913,1257,2025-08-20 19:59:12
STK-000339,WH-IN-0718,PROD-00509,1933,2025-08-09 19:59:12
STK-000340,WH-IN-0799,PROD-00704,512,2025-08-14 19:59:12
STK-000341,WH-IN-0921,PROD-00161,24,2025-08-20 19:59:12
STK-000342,WH-IN-0620,PROD-00243,1576,2025-08-05 19:59:12
STK-000343,WH-IN-0920,PROD-00057,1701,2025-08-17 19:59:12
STK-000344,WH-IN-0702,PROD-00649,525,2025-08-05 19:59:12
STK-000345,WH-IN-0795,PROD-00640,1540,2025-08-17 19:59:12
STK-000346,WH-IN-0047,PROD-00985,1576,2025-08-13 19:59:12
STK-000347,WH-IN-0892,PROD-00738,1341,2025-08-20 19:59:12
STK-000348,WH-IN-0845,PROD-00805,1394,2025-08-19 19:59:12
STK-000349,WH-IN-0665,PROD-00898,1417,2025-08-03 19:59:12
STK-000350,WH-IN-0641,PROD-00914,152,2025-08-08 19:59:12
STK-000351,WH-IN-0793,PROD-00467,72,2025-08-02 19:59:12
STK-000352,WH-IN-0863,PROD-00252,952,2025-08-10 19:59:12
STK-000353,WH-IN-0870,PROD-00618,1974,2025-08-07 19:59:12
STK-000354,WH-IN-0493,PROD-00557,987,2025-08-17 19:59:12
STK-000355,WH-IN-0623,PROD-00664,1930,2025-08-22 19:59:12
STK-000356,WH-IN-0355,PROD-00306,1435,2025-08-10 19:59:12
STK-000357,WH-IN-0560,PROD-00560,1432,2025-08-23 19:59:12
STK-000358,WH-IN-0876,PROD-00201,1363,2025-08-21 19:59:12
STK-000359,WH-IN-0618,PROD-00026,1910,2025-08-12 19:59:12
STK-000360,WH-IN-0484,PROD-00052,1438,2025-08-22 19:59:12
STK-000361,WH-IN-0408,PROD-00047,975,2025-08-04 19:59:12
STK-000362,WH-IN-0556,PROD-00568,1277,2025-08-13 19:59:12
STK-000363,WH-IN-0504,PROD-00272,920,2025-08-21 19:59:12
STK-000364,WH-IN-0898,PROD-00951,287,2025-08-24 19:59:12
STK-000365,WH-IN-0299,PROD-00205,1071,2025-08-07 19:59:12
STK-000366,WH-IN-0732,PROD-00175,1539,2025-08-20 19:59:12
STK-000367,WH-IN-0625,PROD-00052,786,2025-08-23 19:59:12
STK-000368,WH-IN-0056,PROD-00644,1872,2025-08-11 19:59:12
STK-000369,WH-IN-0782,PROD-00522,366,2025-08-13 19:59:12
STK-000370,WH-IN-0442,PROD-00255,707,2025-07-31 19:59:12
STK-000371,WH-IN-0090,PROD-00927,514,2025-08-22 19:59:12
STK-000372,WH-IN-0301,PROD-00494,892,2025-07-30 19:59:12
