forecast_id,city_name,forecast_timestamp,report_generated_at,condition,temperature_celsius,humidity_percent,wind_speed_kph,visibility_km,precipitation_mm_per_hour,warnings_advisories
WTHR-0000038,Gandhinagar,2025-09-01 11:59:13,2025-08-29 19:24:13,Clear skies,33.8,40,5.5,7.1,0.0,None
WTHR-0000039,Shahjahanpur,2025-08-30 19:59:13,2025-08-29 19:37:13,Cloudy,33.5,88,5.0,19.0,0.0,None
WTHR-0000040,Panipat,2025-09-01 11:59:13,2025-08-29 19:37:13,Light rain,42.1,47,15.6,18.2,16.4,Heavy Rain Warning
WTHR-0000041,Bhusawal,2025-08-31 19:59:13,2025-08-29 19:15:13,Partly cloudy,17.6,82,45.4,5.7,0.0,None
WTHR-0000042,Gangtok,2025-08-30 00:59:13,2025-08-29 19:01:13,Clear skies,42.0,83,8.0,1.6,0.0,Heat Wave Alert
WTHR-0000043,Fatehpur,2025-08-31 06:59:13,2025-08-29 19:16:13,Cloudy,11.2,39,7.7,4.0,0.0,None
WTHR-0000044,Raurkela Industrial Township,2025-08-29 23:59:13,2025-08-29 19:55:13,Clear skies,25.1,56,22.3,19.8,0.0,None
WTHR-0000045,Delhi,2025-08-31 11:59:13,2025-08-29 19:30:13,Cloudy,41.7,41,19.2,9.2,0.0,Heat Wave Alert
WTHR-0000046,Thiruvananthapuram,2025-08-31 09:59:13,2025-08-29 19:19:13,Thunderstorms,6.0,87,32.5,14.8,14.6,Heavy Rain Warning
WTHR-0000047,Rajpur Sonarpur,2025-08-29 23:59:13,2025-08-29 19:56:13,Thunderstorms,29.1,58,25.0,4.9,4.1,None
WTHR-0000048,Gwalior,2025-08-31 19:59:13,2025-08-29 19:32:13,Cloudy,15.3,91,32.4,1.9,0.0,None
WTHR-0000049,Bihar Sharif,2025-08-31 17:59:13,2025-08-29 19:01:13,Thunderstorms,12.2,99,11.5,4.4,18.4,Heavy Rain Warning
WTHR-0000050,Imphal,2025-08-30 04:59:13,2025-08-29 19:37:13,Heavy rain,31.0,63,47.6,0.2,15.0,Heavy Rain Warning
WTHR-0000051,Tinsukia,2025-09-01 03:59:13,2025-08-29 19:21:13,Light rain,27.8,42,26.0,1.7,1.1,None
WTHR-0000052,Berhampore,2025-09-01 12:59:13,2025-08-29 19:33:13,Fog,33.7,70,44.5,0.9,0.0,Fog Advisory
WTHR-0000053,Mahbubnagar,2025-09-01 00:59:13,2025-08-29 19:30:13,Partly cloudy,18.7,70,42.6,18.7,0.0,None
WTHR-0000054,Kulti,2025-09-01 15:59:13,2025-08-29 19:01:13,Clear skies,13.5,95,25.5,1.0,0.0,None
WTHR-0000055,Nellore,2025-09-01 14:59:13,2025-08-29 19:15:13,Partly cloudy,19.9,30,25.3,6.7,0.0,None
WTHR-0000056,Durgapur,2025-08-31 05:59:13,2025-08-29 19:52:13,Clear skies,34.0,79,17.2,19.9,0.0,None
WTHR-0000057,Serampore,2025-08-31 15:59:13,2025-08-29 19:29:13,Partly cloudy,13.5,60,38.0,11.2,0.0,None
WTHR-0000058,Narasaraopet,2025-08-31 08:59:13,2025-08-29 19:31:13,Light rain,33.6,46,34.2,19.3,5.7,Heavy Rain Warning
WTHR-0000059,Naihati,2025-08-30 00:59:13,2025-08-29 19:59:13,Cloudy,41.3,48,0.7,10.8,0.0,Heat Wave Alert
WTHR-0000060,Bettiah,2025-08-29 20:59:13,2025-08-29 19:06:13,Clear skies,36.8,99,20.0,8.8,0.0,None
WTHR-0000061,Chennai,2025-08-29 20:59:13,2025-08-29 19:50:13,Light rain,27.6,93,4.2,4.9,0.7,None
WTHR-0000062,Kottayam,2025-09-01 19:59:13,2025-08-29 19:38:13,Partly cloudy,19.7,66,36.4,2.1,0.0,None
WTHR-0000063,Korba,2025-08-30 07:59:13,2025-08-29 19:01:13,Cloudy,37.4,34,33.4,19.2,0.0,None
WTHR-0000064,Chandrapur,2025-08-30 13:59:13,2025-08-29 19:03:13,Partly cloudy,15.1,89,35.9,15.0,0.0,None
WTHR-0000065,Bongaigaon,2025-09-01 11:59:13,2025-08-29 19:06:13,Light rain,21.3,54,3.2,11.6,14.1,Heavy Rain Warning
WTHR-0000066,Tiruchirappalli,2025-08-30 04:59:13,2025-08-29 19:33:13,Fog,36.7,96,43.2,0.9,0.0,Fog Advisory
WTHR-0000067,Bellary,2025-09-01 04:59:13,2025-08-29 19:33:13,Partly cloudy,11.7,86,8.4,15.8,0.0,None
WTHR-0000068,Buxar,2025-08-31 23:59:13,2025-08-29 19:25:13,Cloudy,7.1,74,46.0,16.2,0.0,None
WTHR-0000069,Narasaraopet,2025-08-31 12:59:13,2025-08-29 19:19:13,Heavy rain,37.0,60,14.7,18.0,2.1,None
WTHR-0000070,Rampur,2025-08-30 16:59:13,2025-08-29 19:45:13,Clear skies,29.9,68,0.8,19.0,0.0,None
WTHR-0000071,Parbhani,2025-08-31 09:59:13,2025-08-29 19:25:13,Clear skies,36.9,90,39.9,2.0,0.0,None
WTHR-0000072,Satna,2025-08-31 15:59:13,2025-08-29 19:42:13,Light rain,20.0,95,44.9,10.0,15.8,Heavy Rain Warning
WTHR-0000073,Chandigarh,2025-09-01 12:59:13,2025-08-29 19:04:13,Cloudy,38.0,47,8.6,5.9,0.0,None
WTHR-0000074,Ahmedabad,2025-09-01 04:59:13,2025-08-29 19:09:13,Cloudy,29.0,63,30.0,1.9,0.0,None
WTHR-0000075,Chapra,2025-09-01 12:59:13,2025-08-29 19:58:13,Cloudy,10.4,88,24.8,17.3,0.0,None
WTHR-0000076,Adoni,2025-08-31 05:59:13,2025-08-29 19:11:13,Clear skies,32.2,94,16.6,4.0,0.0,None
WTHR-0000077,Coimbatore,2025-08-30 14:59:13,2025-08-29 18:59:13,Thunderstorms,16.5,91,1.8,10.8,6.7,Heavy Rain Warning
WTHR-0000078,Gudivada,2025-09-01 04:59:13,2025-08-29 19:57:13,Partly cloudy,24.1,92,26.5,16.4,0.0,None
WTHR-0000079,Uluberia,2025-08-30 20:59:13,2025-08-29 19:15:13,Heavy rain,12.5,93,16.9,12.2,12.6,Heavy Rain Warning
WTHR-0000080,Hajipur,2025-08-31 22:59:13,2025-08-29 19:09:13,Heavy rain,29.6,80,10.8,18.5,14.5,Heavy Rain Warning
WTHR-0000081,Faridabad,2025-09-01 16:59:13,2025-08-29 19:37:13,Clear skies,23.9,54,19.7,12.7,0.0,None
WTHR-0000082,New Delhi,2025-08-30 22:59:13,2025-08-29 19:54:13,Partly cloudy,31.9,99,19.9,2.3,0.0,None
WTHR-0000083,Bhilwara,2025-08-30 20:59:13,2025-08-29 19:07:13,Thunderstorms,33.7,85,13.1,2.1,14.8,Heavy Rain Warning
WTHR-0000084,Jhansi,2025-08-30 22:59:13,2025-08-29 19:07:13,Heavy rain,8.4,54,48.7,15.5,6.4,Heavy Rain Warning
WTHR-0000085,Coimbatore,2025-09-01 13:59:13,2025-08-29 19:47:13,Partly cloudy,42.6,90,3.8,9.4,0.0,Heat Wave Alert
WTHR-0000086,Kishanganj,2025-08-30 21:59:13,2025-08-29 19:44:13,Partly cloudy,42.4,51,10.9,1.1,0.0,Heat Wave Alert
WTHR-0000087,Bally,2025-08-31 01:59:13,2025-08-29 19:52:13,Thunderstorms,34.7,82,49.1,10.7,16.0,Heavy Rain Warning
WTHR-0000088,Adoni,2025-09-01 07:59:13,2025-08-29 19:40:13,Partly cloudy,26.6,81,17.5,8.6,0.0,None
WTHR-0000089,Narasaraopet,2025-08-31 03:59:13,2025-08-29 19:18:13,Heavy rain,34.9,73,8.2,5.0,13.9,Heavy Rain Warning
WTHR-0000090,Ujjain,2025-09-01 08:59:13,2025-08-29 19:56:13,Partly cloudy,42.0,74,9.9,6.3,0.0,Heat Wave Alert
WTHR-0000091,Mau,2025-08-31 10:59:13,2025-08-29 19:18:13,Cloudy,19.2,77,48.3,11.6,0.0,None
WTHR-0000092,Siwan,2025-09-01 04:59:13,2025-08-29 19:45:13,Cloudy,28.7,52,37.9,15.6,0.0,None
WTHR-0000093,Berhampore,2025-08-31 05:59:13,2025-08-29 19:01:13,Thunderstorms,17.5,84,7.8,18.3,0.7,None
WTHR-0000094,South Dumdum,2025-09-01 09:59:13,2025-08-29 19:00:13,Clear skies,5.1,85,20.3,17.1,0.0,None
WTHR-0000095,Muzaffarpur,2025-08-31 07:59:13,2025-08-29 19:55:13,Clear skies,9.5,51,24.3,8.1,0.0,None
WTHR-0000096,Tinsukia,2025-08-30 02:59:13,2025-08-29 19:14:13,Heavy rain,41.2,58,41.7,15.1,3.7,Heat Wave Alert
WTHR-0000097,Thane,2025-09-01 06:59:13,2025-08-29 19:45:13,Light rain,30.7,97,46.8,19.8,4.0,None
WTHR-0000098,Muzaffarnagar,2025-08-30 19:59:13,2025-08-29 19:24:13,Cloudy,27.2,37,13.3,12.2,0.0,None
WTHR-0000099,Sultan Pur Majra,2025-08-30 05:59:13,2025-08-29 19:17:13,Haze,31.6,60,39.9,1.8,0.0,Fog Advisory
WTHR-0000100,Mumbai,2025-08-30 16:59:13,2025-08-29 19:11:13,Light rain,35.4,84,39.3,9.7,15.0,Heavy Rain Warning
WTHR-0000101,Kakinada,2025-08-30 23:59:13,2025-08-29 19:15:13,Partly cloudy,34.5,42,28.4,7.8,0.0,None
WTHR-0000102,Bhagalpur,2025-08-31 03:59:13,2025-08-29 19:02:13,Clear skies,43.1,30,34.3,1.6,0.0,Heat Wave Alert
WTHR-0000103,Karawal Nagar,2025-08-31 09:59:13,2025-08-29 18:59:13,Partly cloudy,22.8,54,28.9,17.8,0.0,None
WTHR-0000104,Rajpur Sonarpur,2025-08-30 03:59:13,2025-08-29 19:13:13,Haze,40.9,51,34.5,1.1,0.0,Fog Advisory
WTHR-0000105,Shivpuri,2025-09-01 04:59:13,2025-08-29 19:09:13,Partly cloudy,5.4,42,11.6,6.6,0.0,None
WTHR-0000106,Panihati,2025-08-31 15:59:13,2025-08-29 19:54:13,Thunderstorms,15.2,53,13.8,5.4,13.9,Heavy Rain Warning
WTHR-0000107,Aizawl,2025-08-31 02:59:13,2025-08-29 19:12:13,Partly cloudy,32.3,57,28.9,6.3,0.0,None
WTHR-0000108,Phusro,2025-09-01 19:59:13,2025-08-29 19:23:13,Heavy rain,38.1,52,8.2,0.6,12.8,Heavy Rain Warning
WTHR-0000109,North Dumdum,2025-08-31 22:59:13,2025-08-29 19:50:13,Thunderstorms,25.9,89,35.2,5.6,11.6,Heavy Rain Warning
WTHR-0000110,Mira-Bhayandar,2025-08-31 04:59:13,2025-08-29 19:04:13,Partly cloudy,41.4,62,20.7,6.5,0.0,Heat Wave Alert
WTHR-0000111,Dehradun,2025-08-30 19:59:13,2025-08-29 19:22:13,Clear skies,19.1,58,41.3,12.5,0.0,None
WTHR-0000112,Guntakal,2025-09-01 05:59:13,2025-08-29 19:15:13,Clear skies,40.8,57,5.2,2.5,0.0,Heat Wave Alert
WTHR-0000113,Yamunanagar,2025-08-31 02:59:13,2025-08-29 19:00:13,Thunderstorms,13.6,89,45.2,4.3,2.1,None
WTHR-0000114,Raichur,2025-08-31 01:59:13,2025-08-29 19:33:13,Clear skies,35.2,73,21.0,1.9,0.0,None
WTHR-0000115,Gandhinagar,2025-09-01 14:59:13,2025-08-29 18:59:13,Clear skies,17.4,64,5.8,10.9,0.0,None
WTHR-0000116,Jamshedpur,2025-08-31 16:59:13,2025-08-29 19:19:13,Partly cloudy,40.7,86,15.8,4.1,0.0,Heat Wave Alert
WTHR-0000117,Jorhat,2025-08-31 07:59:13,2025-08-29 19:17:13,Fog,11.2,45,34.6,0.6,0.0,Fog Advisory
WTHR-0000118,Miryalaguda,2025-08-31 05:59:13,2025-08-29 19:06:13,Partly cloudy,38.1,33,18.2,9.9,0.0,None
WTHR-0000119,Visakhapatnam,2025-08-30 15:59:13,2025-08-29 19:53:13,Partly cloudy,23.2,93,12.7,2.6,0.0,None
WTHR-0000120,Sasaram,2025-08-30 15:59:13,2025-08-29 19:45:13,Cloudy,22.4,81,29.8,8.4,0.0,None
WTHR-0000121,Thiruvananthapuram,2025-08-31 09:59:13,2025-08-29 19:07:13,Clear skies,36.8,41,11.7,2.2,0.0,None
WTHR-0000122,Nizamabad,2025-08-30 11:59:13,2025-08-29 19:50:13,Clear skies,12.9,62,48.3,12.4,0.0,None
WTHR-0000123,Belgaum,2025-09-01 07:59:13,2025-08-29 19:40:13,Clear skies,16.2,48,34.4,17.0,0.0,None
WTHR-0000124,Hubli–Dharwad,2025-08-31 06:59:13,2025-08-29 19:42:13,Light rain,19.0,84,42.0,5.7,3.5,None
WTHR-0000125,Jamnagar,2025-08-30 05:59:13,2025-08-29 19:09:13,Partly cloudy,26.0,51,27.8,15.7,0.0,None
WTHR-0000126,Imphal,2025-08-30 04:59:13,2025-08-29 19:47:13,Cloudy,20.6,75,35.9,19.7,0.0,None
WTHR-0000127,Bhavnagar,2025-09-01 13:59:13,2025-08-29 19:14:13,Cloudy,10.9,55,29.5,10.6,0.0,None
WTHR-0000128,Kurnool,2025-08-30 12:59:13,2025-08-29 19:03:13,Heavy rain,12.6,84,18.7,5.9,12.2,Heavy Rain Warning
WTHR-0000129,Tinsukia,2025-09-01 10:59:13,2025-08-29 19:33:13,Clear skies,8.1,30,17.2,10.6,0.0,None
WTHR-0000130,Sikar,2025-09-01 00:59:13,2025-08-29 19:27:13,Cloudy,30.6,73,27.1,15.8,0.0,None
WTHR-0000131,Bokaro,2025-08-30 01:59:13,2025-08-29 19:21:13,Thunderstorms,21.2,71,25.8,3.9,5.8,Heavy Rain Warning
WTHR-0000132,Naihati,2025-08-29 23:59:13,2025-08-29 19:59:13,Clear skies,32.5,36,24.6,0.8,0.0,None
WTHR-0000133,Nagercoil,2025-08-31 14:59:13,2025-08-29 19:08:13,Clear skies,40.0,30,10.6,13.8,0.0,None
WTHR-0000134,Panvel,2025-09-01 10:59:13,2025-08-29 19:09:13,Partly cloudy,28.2,90,43.9,19.0,0.0,None
WTHR-0000135,Kolhapur,2025-09-01 17:59:13,2025-08-29 19:30:13,Thunderstorms,17.9,95,49.4,19.8,5.9,Heavy Rain Warning
WTHR-0000136,Phagwara,2025-08-30 03:59:13,2025-08-29 19:19:13,Partly cloudy,35.2,34,27.1,16.8,0.0,None
WTHR-0000137,Morbi,2025-09-01 15:59:13,2025-08-29 19:33:13,Cloudy,25.9,38,8.5,14.8,0.0,None
WTHR-0000138,Bokaro,2025-08-31 23:59:13,2025-08-29 19:44:13,Heavy rain,21.0,58,4.0,16.7,8.7,Heavy Rain Warning
WTHR-0000139,Buxar,2025-09-01 08:59:13,2025-08-29 19:44:13,Clear skies,10.4,70,5.9,18.4,0.0,None
WTHR-0000140,Buxar,2025-08-30 08:59:13,2025-08-29 19:58:13,Fog,35.7,86,21.0,0.1,0.0,Fog Advisory
WTHR-0000141,Rajpur Sonarpur,2025-09-01 18:59:13,2025-08-29 19:08:13,Fog,10.5,92,20.7,1.3,0.0,Fog Advisory
WTHR-0000142,Ongole,2025-09-01 10:59:13,2025-08-29 19:21:13,Partly cloudy,39.2,75,32.8,4.1,0.0,None
WTHR-0000143,Davanagere,2025-09-01 01:59:13,2025-08-29 19:15:13,Clear skies,40.6,39,44.1,11.3,0.0,Heat Wave Alert
WTHR-0000144,Ambarnath,2025-08-31 01:59:13,2025-08-29 19:05:13,Clear skies,26.2,30,16.6,16.1,0.0,None
WTHR-0000145,Berhampore,2025-08-30 11:59:13,2025-08-29 19:19:13,Partly cloudy,37.9,63,6.8,3.8,0.0,None
WTHR-0000146,Ludhiana,2025-08-30 20:59:13,2025-08-29 19:35:13,Partly cloudy,41.4,68,32.6,11.8,0.0,Heat Wave Alert
WTHR-0000147,Adoni,2025-08-30 04:59:13,2025-08-29 19:45:13,Cloudy,19.6,62,7.0,18.8,0.0,None
WTHR-0000148,Raurkela Industrial Township,2025-09-01 09:59:13,2025-08-29 19:08:13,Clear skies,34.8,66,43.1,13.1,0.0,None
WTHR-0000149,Karaikudi,2025-08-30 07:59:13,2025-08-29 19:50:13,Clear skies,27.3,65,10.6,10.0,0.0,None
WTHR-0000150,Jaunpur,2025-08-31 03:59:13,2025-08-29 19:39:13,Heavy rain,19.6,58,8.5,9.4,4.4,None
WTHR-0000151,Raebareli,2025-08-30 21:59:13,2025-08-29 19:00:13,Light rain,33.8,61,43.2,11.3,16.8,Heavy Rain Warning
WTHR-0000152,Danapur,2025-08-31 11:59:13,2025-08-29 19:28:13,Haze,11.7,70,6.6,1.7,0.0,Fog Advisory
WTHR-0000153,Patna,2025-09-01 11:59:13,2025-08-29 19:52:13,Light rain,29.0,38,24.7,17.7,6.1,Heavy Rain Warning
WTHR-0000154,Kirari Suleman Nagar,2025-08-31 22:59:13,2025-08-29 19:57:13,Cloudy,20.4,59,22.8,7.8,0.0,None
WTHR-0000155,Thanjavur,2025-08-30 16:59:13,2025-08-29 19:57:13,Haze,32.3,80,35.8,1.8,0.0,Fog Advisory
WTHR-0000156,Unnao,2025-08-29 23:59:13,2025-08-29 19:47:13,Cloudy,14.0,60,37.5,10.4,0.0,None
WTHR-0000157,Ahmednagar,2025-08-31 13:59:13,2025-08-29 19:31:13,Clear skies,35.1,49,19.8,17.1,0.0,None
WTHR-0000158,Bettiah,2025-08-31 05:59:13,2025-08-29 19:15:13,Clear skies,18.0,86,45.6,12.4,0.0,None
WTHR-0000159,Hospet,2025-08-30 13:59:13,2025-08-29 19:32:13,Heavy rain,6.3,70,43.8,15.4,16.2,Heavy Rain Warning
WTHR-0000160,Ballia,2025-08-31 00:59:13,2025-08-29 19:19:13,Clear skies,8.3,56,33.8,14.3,0.0,None
WTHR-0000161,Kanpur,2025-08-30 13:59:13,2025-08-29 19:53:13,Clear skies,35.2,94,6.3,11.7,0.0,None
WTHR-0000162,Gurgaon,2025-08-30 01:59:13,2025-08-29 19:51:13,Heavy rain,5.9,53,12.9,16.7,0.6,None
WTHR-0000163,Serampore,2025-08-30 12:59:13,2025-08-29 19:55:13,Light rain,25.4,83,11.4,7.0,0.1,None
WTHR-0000164,Chittoor,2025-09-01 18:59:13,2025-08-29 19:12:13,Clear skies,43.0,63,31.8,5.9,0.0,Heat Wave Alert
WTHR-0000165,Bhagalpur,2025-09-01 16:59:13,2025-08-29 19:50:13,Light rain,37.9,63,46.7,14.3,19.7,Heavy Rain Warning
WTHR-0000166,Bidhannagar,2025-08-31 01:59:13,2025-08-29 19:58:13,Partly cloudy,16.3,81,30.5,19.5,0.0,None
WTHR-0000167,South Dumdum,2025-08-30 08:59:13,2025-08-29 19:13:13,Heavy rain,43.0,33,17.1,12.1,18.3,Heavy Rain Warning
WTHR-0000168,Muzaffarpur,2025-09-01 14:59:13,2025-08-29 19:13:13,Cloudy,37.6,56,8.5,3.1,0.0,None
WTHR-0000169,Tadipatri,2025-08-30 10:59:13,2025-08-29 19:27:13,Light rain,25.2,68,5.0,16.0,18.7,Heavy Rain Warning
WTHR-0000170,Bulandshahr,2025-08-30 15:59:13,2025-08-29 19:28:13,Partly cloudy,31.2,99,16.0,3.7,0.0,None
WTHR-0000171,Guna,2025-08-31 12:59:13,2025-08-29 19:59:13,Light rain,11.5,43,39.2,10.1,6.2,Heavy Rain Warning
WTHR-0000172,Chapra,2025-09-01 10:59:13,2025-08-29 19:18:13,Partly cloudy,16.2,80,13.0,11.7,0.0,None
WTHR-0000173,Guntakal,2025-08-30 06:59:13,2025-08-29 19:20:13,Heavy rain,16.6,43,15.6,14.4,0.1,None
WTHR-0000174,Miryalaguda,2025-08-30 11:59:13,2025-08-29 19:21:13,Heavy rain,43.1,50,41.8,14.1,0.7,Heat Wave Alert
WTHR-0000175,Tadipatri,2025-08-31 15:59:13,2025-08-29 19:02:13,Clear skies,10.2,86,9.4,7.6,0.0,None
WTHR-0000176,Gandhidham,2025-08-29 21:59:13,2025-08-29 19:40:13,Clear skies,16.8,94,10.8,7.3,0.0,None
WTHR-0000177,Patiala,2025-09-01 07:59:13,2025-08-29 19:23:13,Light rain,14.1,72,43.0,13.3,18.3,Heavy Rain Warning
WTHR-0000178,Ratlam,2025-09-01 01:59:13,2025-08-29 19:15:13,Partly cloudy,30.9,77,45.8,6.7,0.0,None
WTHR-0000179,Jamshedpur,2025-08-30 00:59:13,2025-08-29 19:37:13,Partly cloudy,33.1,87,32.2,4.7,0.0,None
WTHR-0000180,Purnia,2025-08-31 00:59:13,2025-08-29 19:44:13,Thunderstorms,42.4,50,4.1,3.5,12.4,Heavy Rain Warning
WTHR-0000181,Chandigarh,2025-08-30 22:59:13,2025-08-29 19:00:13,Partly cloudy,16.0,72,17.1,17.4,0.0,None
WTHR-0000182,Warangal,2025-08-30 13:59:13,2025-08-29 19:14:13,Clear skies,12.4,45,4.4,18.0,0.0,None
WTHR-0000183,Panipat,2025-08-30 10:59:13,2025-08-29 19:25:13,Partly cloudy,15.3,56,38.9,11.3,0.0,None
WTHR-0000184,Sambhal,2025-08-30 05:59:13,2025-08-29 19:25:13,Partly cloudy,32.4,79,29.5,10.6,0.0,None
WTHR-0000185,Dewas,2025-08-31 08:59:13,2025-08-29 18:59:13,Thunderstorms,5.2,45,10.9,10.7,6.1,Heavy Rain Warning
WTHR-0000186,Nagercoil,2025-08-30 14:59:13,2025-08-29 19:38:13,Thunderstorms,11.0,79,34.6,11.1,9.4,Heavy Rain Warning
WTHR-0000187,Ambarnath,2025-09-01 13:59:13,2025-08-29 19:55:13,Partly cloudy,41.4,95,27.5,7.6,0.0,Heat Wave Alert
WTHR-0000188,Surat,2025-08-31 11:59:13,2025-08-29 19:43:13,Light rain,37.9,90,21.4,3.9,13.2,Heavy Rain Warning
WTHR-0000189,Alappuzha,2025-08-30 22:59:13,2025-08-29 19:55:13,Fog,26.0,64,39.7,1.3,0.0,Fog Advisory
WTHR-0000190,Gurgaon,2025-08-30 19:59:13,2025-08-29 19:02:13,Partly cloudy,28.9,89,9.0,17.2,0.0,None
WTHR-0000191,Raurkela Industrial Township,2025-09-01 19:59:13,2025-08-29 19:32:13,Thunderstorms,36.0,70,35.4,13.4,6.9,Heavy Rain Warning
WTHR-0000192,Latur,2025-08-30 23:59:13,2025-08-29 19:45:13,Heavy rain,28.7,69,7.1,15.1,5.2,Heavy Rain Warning
WTHR-0000193,Morena,2025-08-31 04:59:13,2025-08-29 19:51:13,Light rain,9.0,31,26.5,12.6,17.4,Heavy Rain Warning
