route_id,origin_location_id,destination_location_id,base_distance_km,base_cost_per_kg_km,average_transit_time_days_standard
37823-44543,LOC-IN-37823,LOC-IN-44543,262,0.000286,9
29982-26882,LOC-IN-29982,LOC-IN-26882,2821,0.000212,10
42217-25680,LOC-IN-42217,LOC-IN-25680,1632,0.000959,7
25885-27737,LOC-IN-25885,LOC-IN-27737,1981,0.000832,9
21171-40348,LOC-IN-21171,LOC-IN-40348,1552,0.000318,2
32110-13984,LOC-IN-32110,LOC-IN-13984,2890,0.000451,9
44538-30750,LOC-IN-44538,LOC-IN-30750,259,0.000328,1
44882-23189,LOC-IN-44882,LOC-IN-23189,2189,0.00018,1
02443-46987,LOC-IN-02443,LOC-IN-46987,1250,0.000571,2
45106-39970,LOC-IN-45106,LOC-IN-39970,1220,0.000344,4
36096-15380,LOC-IN-36096,LOC-IN-15380,735,0.000261,2
06578-06209,LOC-IN-06578,LOC-IN-06209,340,0.0006,4
05728-23262,LOC-IN-05728,LOC-IN-23262,395,0.000759,10
19435-35918,LOC-IN-19435,LOC-IN-35918,661,0.000948,1
42278-43701,LOC-IN-42278,LOC-IN-43701,1804,0.000852,7
09850-14449,LOC-IN-09850,LOC-IN-14449,1738,0.000808,3
18528-13234,LOC-IN-18528,LOC-IN-13234,1551,0.00079,2
22489-45297,LOC-IN-22489,LOC-IN-45297,1267,0.000956,3
19090-14511,LOC-IN-19090,LOC-IN-14511,2249,0.000861,4
10502-38126,LOC-IN-10502,LOC-IN-38126,1607,0.000305,7
45416-37255,LOC-IN-45416,LOC-IN-37255,1801,0.000702,9
25009-19340,LOC-IN-25009,LOC-IN-19340,1038,0.000116,7
43394-26729,LOC-IN-43394,LOC-IN-26729,2346,0.0006,3
26126-28365,LOC-IN-26126,LOC-IN-28365,2584,0.000127,5
26817-09766,LOC-IN-26817,LOC-IN-09766,2160,0.000508,9
46523-07516,LOC-IN-46523,LOC-IN-07516,2113,0.000643,2
26819-17344,LOC-IN-26819,LOC-IN-17344,757,0.000874,2
06216-45014,LOC-IN-06216,LOC-IN-45014,1415,0.000652,4
42380-39967,LOC-IN-42380,LOC-IN-39967,362,0.00059,1
13383-01756,LOC-IN-13383,LOC-IN-01756,107,0.000173,7
02689-26911,LOC-IN-02689,LOC-IN-26911,342,0.00083,4
19165-49285,LOC-IN-19165,LOC-IN-49285,1059,0.000544,9
17718-20521,LOC-IN-17718,LOC-IN-20521,1535,0.000106,10
13187-07049,LOC-IN-13187,LOC-IN-07049,2153,0.000736,1
00790-15386,LOC-IN-00790,LOC-IN-15386,559,0.000588,7
41326-08188,LOC-IN-41326,LOC-IN-08188,1875,0.000135,4
33541-43551,LOC-IN-33541,LOC-IN-43551,229,0.000457,1
40576-03910,LOC-IN-40576,LOC-IN-03910,2569,0.000387,6
30279-03291,LOC-IN-30279,LOC-IN-03291,1234,0.000276,10
40615-16108,LOC-IN-40615,LOC-IN-16108,2618,0.00064,8
40953-20579,LOC-IN-40953,LOC-IN-20579,2460,0.000174,2
15508-42658,LOC-IN-15508,LOC-IN-42658,310,0.000535,5
06509-41163,LOC-IN-06509,LOC-IN-41163,1353,0.000305,6
20025-04279,LOC-IN-20025,LOC-IN-04279,2512,0.000387,8
30035-00075,LOC-IN-30035,LOC-IN-00075,1738,0.000568,10
08028-12481,LOC-IN-08028,LOC-IN-12481,1385,0.00062,2
46925-17326,LOC-IN-46925,LOC-IN-17326,2401,0.000869,5
29643-49560,LOC-IN-29643,LOC-IN-49560,2083,0.000327,3
42029-42382,LOC-IN-42029,LOC-IN-42382,800,0.000277,3
42097-27724,LOC-IN-42097,LOC-IN-27724,1108,0.000748,10
37525-18791,LOC-IN-37525,LOC-IN-18791,611,0.000194,9
28645-44807,LOC-IN-28645,LOC-IN-44807,1569,0.000125,9
37121-11913,LOC-IN-37121,LOC-IN-11913,2270,0.000239,5
33491-18127,LOC-IN-33491,LOC-IN-18127,780,0.000175,2
14601-22034,LOC-IN-14601,LOC-IN-22034,1292,0.000744,10
35289-14841,LOC-IN-35289,LOC-IN-14841,1855,0.000797,1
48264-11835,LOC-IN-48264,LOC-IN-11835,2316,0.000813,1
17035-45480,LOC-IN-17035,LOC-IN-45480,2392,0.000335,1
15845-20282,LOC-IN-15845,LOC-IN-20282,1120,0.000695,1
46204-03366,LOC-IN-46204,LOC-IN-03366,765,0.000951,3
23694-03036,LOC-IN-23694,LOC-IN-03036,1561,0.000182,2
04104-16021,LOC-IN-04104,LOC-IN-16021,1227,0.000379,10
36231-09096,LOC-IN-36231,LOC-IN-09096,1992,0.000945,3
30271-01380,LOC-IN-30271,LOC-IN-01380,723,0.000284,6
39827-49685,LOC-IN-39827,LOC-IN-49685,1449,0.000392,4
28127-39426,LOC-IN-28127,LOC-IN-39426,2695,0.000369,9
03209-09558,LOC-IN-03209,LOC-IN-09558,1639,0.000803,7
09952-05058,LOC-IN-09952,LOC-IN-05058,2077,0.000797,2
35021-01200,LOC-IN-35021,LOC-IN-01200,683,0.00073,7
46042-40457,LOC-IN-46042,LOC-IN-40457,2155,0.000119,6
44532-47202,LOC-IN-44532,LOC-IN-47202,1901,0.00044,3
47372-33328,LOC-IN-47372,LOC-IN-33328,803,0.000242,9
40370-11760,LOC-IN-40370,LOC-IN-11760,1013,0.000556,9
25078-31331,LOC-IN-25078,LOC-IN-31331,2599,0.000351,3
36373-43950,LOC-IN-36373,LOC-IN-43950,1917,0.000266,4
04931-02555,LOC-IN-04931,LOC-IN-02555,2350,0.000106,4
31882-47270,LOC-IN-31882,LOC-IN-47270,1203,0.000293,6
13191-17485,LOC-IN-13191,LOC-IN-17485,272,0.00094,1
40627-17225,LOC-IN-40627,LOC-IN-17225,1316,0.000909,1
23910-02998,LOC-IN-23910,LOC-IN-02998,2758,0.000483,6
43295-10171,LOC-IN-43295,LOC-IN-10171,1051,0.000294,4
04819-18251,LOC-IN-04819,LOC-IN-18251,2629,0.000548,5
20807-01242,LOC-IN-20807,LOC-IN-01242,2837,0.000885,10
07936-05161,LOC-IN-07936,LOC-IN-05161,1422,0.000939,3
24179-17823,LOC-IN-24179,LOC-IN-17823,2265,0.000501,1
49395-00127,LOC-IN-49395,LOC-IN-00127,1374,0.000296,9
20796-43847,LOC-IN-20796,LOC-IN-43847,534,0.000204,5
16637-17191,LOC-IN-16637,LOC-IN-17191,2620,0.000727,8
23358-33687,LOC-IN-23358,LOC-IN-33687,522,0.000341,8
46657-04705,LOC-IN-46657,LOC-IN-04705,2641,0.000762,8
20666-22361,LOC-IN-20666,LOC-IN-22361,2127,0.000919,4
27237-12929,LOC-IN-27237,LOC-IN-12929,2991,0.000675,2
41269-37827,LOC-IN-41269,LOC-IN-37827,1131,0.000262,5
10136-24950,LOC-IN-10136,LOC-IN-24950,441,0.000408,10
11978-40061,LOC-IN-11978,LOC-IN-40061,725,0.000749,6
04417-12112,LOC-IN-04417,LOC-IN-12112,823,0.000598,9
35664-02407,LOC-IN-35664,LOC-IN-02407,2161,0.000294,7
47939-10846,LOC-IN-47939,LOC-IN-10846,2134,0.000269,9
38141-43088,LOC-IN-38141,LOC-IN-43088,610,0.00022,10
33661-47791,LOC-IN-33661,LOC-IN-47791,129,0.000346,2
08278-22848,LOC-IN-08278,LOC-IN-22848,1416,0.000709,4
19401-35441,LOC-IN-19401,LOC-IN-35441,2122,0.000159,2
08726-22154,LOC-IN-08726,LOC-IN-22154,1966,0.000671,4
13458-16167,LOC-IN-13458,LOC-IN-16167,1275,0.00044,10
12334-28023,LOC-IN-12334,LOC-IN-28023,423,0.000479,8
08537-14724,LOC-IN-08537,LOC-IN-14724,2719,0.000791,3
01044-41756,LOC-IN-01044,LOC-IN-41756,197,0.000991,3
08888-17340,LOC-IN-08888,LOC-IN-17340,1851,0.000682,9
35046-30657,LOC-IN-35046,LOC-IN-30657,1219,0.000998,3
20735-01024,LOC-IN-20735,LOC-IN-01024,2777,0.000625,1
40469-13081,LOC-IN-40469,LOC-IN-13081,117,0.000383,7
43129-13479,LOC-IN-43129,LOC-IN-13479,2388,0.000668,9
08634-27062,LOC-IN-08634,LOC-IN-27062,843,0.000198,7
17276-17102,LOC-IN-17276,LOC-IN-17102,2353,0.000155,8
35641-16670,LOC-IN-35641,LOC-IN-16670,1666,0.000776,8
04933-21726,LOC-IN-04933,LOC-IN-21726,853,0.000765,4
01261-16455,LOC-IN-01261,LOC-IN-16455,545,0.000916,3
49213-26441,LOC-IN-49213,LOC-IN-26441,1986,0.00052,8
35400-37342,LOC-IN-35400,LOC-IN-37342,383,0.000325,10
20357-37147,LOC-IN-20357,LOC-IN-37147,1672,0.000231,7
07259-46809,LOC-IN-07259,LOC-IN-46809,2727,0.000311,5
18485-33799,LOC-IN-18485,LOC-IN-33799,944,0.000534,5
37103-01849,LOC-IN-37103,LOC-IN-01849,114,0.000342,6
30945-10932,LOC-IN-30945,LOC-IN-10932,2240,0.000835,10
02520-07069,LOC-IN-02520,LOC-IN-07069,1443,0.000822,9
09393-08983,LOC-IN-09393,LOC-IN-08983,938,0.000145,9
10185-43138,LOC-IN-10185,LOC-IN-43138,2394,0.000394,4
32978-10261,LOC-IN-32978,LOC-IN-10261,1785,0.000408,10
10127-14906,LOC-IN-10127,LOC-IN-14906,490,0.000313,10
49497-13753,LOC-IN-49497,LOC-IN-13753,2581,0.00024,5
13742-36018,LOC-IN-13742,LOC-IN-36018,2519,0.000918,10
15225-39886,LOC-IN-15225,LOC-IN-39886,481,0.000135,6
24776-08727,LOC-IN-24776,LOC-IN-08727,1359,0.000695,6
41930-16065,LOC-IN-41930,LOC-IN-16065,1831,0.000444,5
49735-07320,LOC-IN-49735,LOC-IN-07320,413,0.000579,9
05199-49326,LOC-IN-05199,LOC-IN-49326,2024,0.000792,8
38464-20721,LOC-IN-38464,LOC-IN-20721,2236,0.000579,5
25526-26027,LOC-IN-25526,LOC-IN-26027,1284,0.000365,4
47133-09657,LOC-IN-47133,LOC-IN-09657,406,0.000943,4
36352-24936,LOC-IN-36352,LOC-IN-24936,2329,0.000261,5
25959-00807,LOC-IN-25959,LOC-IN-00807,2836,0.000721,7
10214-47133,LOC-IN-10214,LOC-IN-47133,900,0.000598,6
00325-46021,LOC-IN-00325,LOC-IN-46021,399,0.000495,1
42044-09533,LOC-IN-42044,LOC-IN-09533,1078,0.00088,5
13961-12202,LOC-IN-13961,LOC-IN-12202,1076,0.000119,2
33229-13572,LOC-IN-33229,LOC-IN-13572,1697,0.000913,1
48490-36663,LOC-IN-48490,LOC-IN-36663,588,0.000862,8
41809-04972,LOC-IN-41809,LOC-IN-04972,887,0.000715,8
24033-08064,LOC-IN-24033,LOC-IN-08064,2018,0.000686,4
49293-31020,LOC-IN-49293,LOC-IN-31020,1160,0.000701,7
44728-00559,LOC-IN-44728,LOC-IN-00559,2434,0.000523,2
21932-18389,LOC-IN-21932,LOC-IN-18389,1598,0.000449,5
21281-34629,LOC-IN-21281,LOC-IN-34629,2270,0.000371,5
06640-12285,LOC-IN-06640,LOC-IN-12285,1687,0.000145,3
41384-23252,LOC-IN-41384,LOC-IN-23252,618,0.000234,9
11468-02721,LOC-IN-11468,LOC-IN-02721,1657,0.000207,9
33383-23354,LOC-IN-33383,LOC-IN-23354,2455,0.000253,4
48199-24290,LOC-IN-48199,LOC-IN-24290,222,0.00098,7
01191-44062,LOC-IN-01191,LOC-IN-44062,2736,0.000853,5
33247-22145,LOC-IN-33247,LOC-IN-22145,1763,0.000715,6
43715-29647,LOC-IN-43715,LOC-IN-29647,2640,0.000382,4
02002-25168,LOC-IN-02002,LOC-IN-25168,2658,0.000869,6
17404-39485,LOC-IN-17404,LOC-IN-39485,1609,0.000537,6
43499-33815,LOC-IN-43499,LOC-IN-33815,2231,0.000401,9
39954-13462,LOC-IN-39954,LOC-IN-13462,1116,0.000737,5
41887-18360,LOC-IN-41887,LOC-IN-18360,915,0.000637,10
37849-26703,LOC-IN-37849,LOC-IN-26703,303,0.000649,3
40501-47767,LOC-IN-40501,LOC-IN-47767,496,0.00092,7
07096-44622,LOC-IN-07096,LOC-IN-44622,1501,0.000735,4
42816-36971,LOC-IN-42816,LOC-IN-36971,2366,0.000807,3
44575-15731,LOC-IN-44575,LOC-IN-15731,1530,0.000293,7
44073-21266,LOC-IN-44073,LOC-IN-21266,1449,0.000864,6
05539-15200,LOC-IN-05539,LOC-IN-15200,455,0.000296,7
20301-21897,LOC-IN-20301,LOC-IN-21897,1428,0.000362,1
01482-45180,LOC-IN-01482,LOC-IN-45180,2193,0.000731,8
03225-23162,LOC-IN-03225,LOC-IN-23162,2743,0.000415,7
03999-29374,LOC-IN-03999,LOC-IN-29374,451,0.000624,6
31210-18839,LOC-IN-31210,LOC-IN-18839,255,0.00062,7
32081-10313,LOC-IN-32081,LOC-IN-10313,751,0.000382,2
27232-36462,LOC-IN-27232,LOC-IN-36462,1426,0.000495,3
33429-08925,LOC-IN-33429,LOC-IN-08925,2725,0.000555,1
25737-06685,LOC-IN-25737,LOC-IN-06685,2435,0.000558,2
39028-13514,LOC-IN-39028,LOC-IN-13514,1567,0.000628,2
12766-02444,LOC-IN-12766,LOC-IN-02444,472,0.00038,10
46017-02745,LOC-IN-46017,LOC-IN-02745,616,0.000767,3
08174-39553,LOC-IN-08174,LOC-IN-39553,967,0.000206,8
07617-15885,LOC-IN-07617,LOC-IN-15885,1181,0.000282,6
43220-00092,LOC-IN-43220,LOC-IN-00092,1906,0.000486,8
23789-11281,LOC-IN-23789,LOC-IN-11281,194,0.000164,2
46836-24177,LOC-IN-46836,LOC-IN-24177,2768,0.000979,1
41417-45470,LOC-IN-41417,LOC-IN-45470,659,0.000206,6
33555-09575,LOC-IN-33555,LOC-IN-09575,2909,0.000588,8
24746-38288,LOC-IN-24746,LOC-IN-38288,2260,0.000556,1
36126-13694,LOC-IN-36126,LOC-IN-13694,1654,0.000445,5
09096-39817,LOC-IN-09096,LOC-IN-39817,1683,0.00013,1
12521-37231,LOC-IN-12521,LOC-IN-37231,495,0.000536,8
38041-16746,LOC-IN-38041,LOC-IN-16746,1455,0.000265,7
47805-38263,LOC-IN-47805,LOC-IN-38263,2191,0.000229,8
34102-45854,LOC-IN-34102,LOC-IN-45854,2437,0.000271,8
38382-26847,LOC-IN-38382,LOC-IN-26847,622,0.000784,9
27231-30977,LOC-IN-27231,LOC-IN-30977,2133,0.000847,2
02878-40807,LOC-IN-02878,LOC-IN-40807,1910,0.000456,8
05625-38914,LOC-IN-05625,LOC-IN-38914,2475,0.000173,1
42322-02756,LOC-IN-42322,LOC-IN-02756,759,0.000241,10
24511-23729,LOC-IN-24511,LOC-IN-23729,1401,0.000403,4
29073-40844,LOC-IN-29073,LOC-IN-40844,1859,0.000157,9
06890-21227,LOC-IN-06890,LOC-IN-21227,194,0.000347,1
02744-37581,LOC-IN-02744,LOC-IN-37581,2894,0.000672,3
30226-34416,LOC-IN-30226,LOC-IN-34416,1904,0.000392,9
41224-18356,LOC-IN-41224,LOC-IN-18356,1510,0.00019,5
41295-41146,LOC-IN-41295,LOC-IN-41146,973,0.000126,1
23649-08301,LOC-IN-23649,LOC-IN-08301,1417,0.000369,9
28450-28660,LOC-IN-28450,LOC-IN-28660,1260,0.000187,9
12330-11457,LOC-IN-12330,LOC-IN-11457,225,0.000798,10
21870-13861,LOC-IN-21870,LOC-IN-13861,2155,0.000555,1
34796-17834,LOC-IN-34796,LOC-IN-17834,1686,0.000872,1
25196-32213,LOC-IN-25196,LOC-IN-32213,1491,0.000845,4
16408-38914,LOC-IN-16408,LOC-IN-38914,237,0.000563,2
15459-47077,LOC-IN-15459,LOC-IN-47077,116,0.000639,8
08340-27207,LOC-IN-08340,LOC-IN-27207,617,0.000309,4
26749-25928,LOC-IN-26749,LOC-IN-25928,246,0.000338,3
27335-18758,LOC-IN-27335,LOC-IN-18758,2771,0.000439,4
20196-44834,LOC-IN-20196,LOC-IN-44834,960,0.000478,9
01103-09460,LOC-IN-01103,LOC-IN-09460,2329,0.000481,7
33451-10971,LOC-IN-33451,LOC-IN-10971,403,0.000762,5
06924-03415,LOC-IN-06924,LOC-IN-03415,2215,0.000703,7
42519-47627,LOC-IN-42519,LOC-IN-47627,1258,0.000816,5
08328-15526,LOC-IN-08328,LOC-IN-15526,2153,0.000665,2
13713-18126,LOC-IN-13713,LOC-IN-18126,861,0.000999,1
17194-39828,LOC-IN-17194,LOC-IN-39828,2324,0.000265,4
33010-45842,LOC-IN-33010,LOC-IN-45842,2408,0.000535,6
01138-36833,LOC-IN-01138,LOC-IN-36833,1055,0.000723,7
43659-31738,LOC-IN-43659,LOC-IN-31738,1698,0.000738,2
14583-16272,LOC-IN-14583,LOC-IN-16272,445,0.000305,1
32951-17817,LOC-IN-32951,LOC-IN-17817,732,0.000909,7
28187-22486,LOC-IN-28187,LOC-IN-22486,156,0.000747,3
01898-05603,LOC-IN-01898,LOC-IN-05603,1198,0.000326,8
37640-24721,LOC-IN-37640,LOC-IN-24721,2391,0.000511,7
39707-21089,LOC-IN-39707,LOC-IN-21089,685,0.000225,8
29447-43015,LOC-IN-29447,LOC-IN-43015,695,0.00027,1
38253-11158,LOC-IN-38253,LOC-IN-11158,2373,0.000933,1
14793-18447,LOC-IN-14793,LOC-IN-18447,232,0.000755,5
40518-37618,LOC-IN-40518,LOC-IN-37618,1248,0.000395,10
19241-17995,LOC-IN-19241,LOC-IN-17995,777,0.00045,6
11426-27592,LOC-IN-11426,LOC-IN-27592,133,0.000631,8
33921-46972,LOC-IN-33921,LOC-IN-46972,1075,0.000949,3
12092-44366,LOC-IN-12092,LOC-IN-44366,1522,0.000343,3
18851-43301,LOC-IN-18851,LOC-IN-43301,1207,0.000713,3
40918-13379,LOC-IN-40918,LOC-IN-13379,964,0.00095,2
18950-04801,LOC-IN-18950,LOC-IN-04801,639,0.000777,8
12786-38939,LOC-IN-12786,LOC-IN-38939,1704,0.000452,4
15114-14590,LOC-IN-15114,LOC-IN-14590,2451,0.00033,6
24913-31659,LOC-IN-24913,LOC-IN-31659,2044,0.000162,8
21654-17400,LOC-IN-21654,LOC-IN-17400,2073,0.000693,5
20119-27215,LOC-IN-20119,LOC-IN-27215,2620,0.000871,3
38678-22033,LOC-IN-38678,LOC-IN-22033,786,0.000685,8
13317-48900,LOC-IN-13317,LOC-IN-48900,670,0.000279,7
12951-33396,LOC-IN-12951,LOC-IN-33396,2446,0.000179,2
41368-01750,LOC-IN-41368,LOC-IN-01750,1649,0.000441,3
22770-17319,LOC-IN-22770,LOC-IN-17319,2973,0.000462,5
13072-08861,LOC-IN-13072,LOC-IN-08861,2686,0.000927,10
39507-48359,LOC-IN-39507,LOC-IN-48359,2192,0.000303,1
42451-44675,LOC-IN-42451,LOC-IN-44675,2158,0.000922,10
31504-21341,LOC-IN-31504,LOC-IN-21341,230,0.000903,5
45809-39671,LOC-IN-45809,LOC-IN-39671,2653,0.000131,3
33120-13403,LOC-IN-33120,LOC-IN-13403,2309,0.000529,3
46759-44397,LOC-IN-46759,LOC-IN-44397,440,0.000908,7
17825-19074,LOC-IN-17825,LOC-IN-19074,1391,0.000831,1
21214-25310,LOC-IN-21214,LOC-IN-25310,2093,0.000781,1
35405-04643,LOC-IN-35405,LOC-IN-04643,2156,0.000838,10
24023-14387,LOC-IN-24023,LOC-IN-14387,1704,0.000875,10
14708-32877,LOC-IN-14708,LOC-IN-32877,1728,0.000781,10
39357-33155,LOC-IN-39357,LOC-IN-33155,1530,0.0003,9
05857-10658,LOC-IN-05857,LOC-IN-10658,737,0.000356,1
31837-29344,LOC-IN-31837,LOC-IN-29344,563,0.000386,7
12219-37934,LOC-IN-12219,LOC-IN-37934,1710,0.000499,7
42979-06104,LOC-IN-42979,LOC-IN-06104,2575,0.000672,2
34217-31179,LOC-IN-34217,LOC-IN-31179,1448,0.000516,2
48205-34211,LOC-IN-48205,LOC-IN-34211,696,0.00034,2
13230-43824,LOC-IN-13230,LOC-IN-43824,791,0.000563,2
41972-01775,LOC-IN-41972,LOC-IN-01775,227,0.0003,6
49192-21705,LOC-IN-49192,LOC-IN-21705,1185,0.000565,3
05248-29525,LOC-IN-05248,LOC-IN-29525,1311,0.000803,8
09137-08513,LOC-IN-09137,LOC-IN-08513,1992,0.000654,7
15164-20602,LOC-IN-15164,LOC-IN-20602,1016,0.000263,6
25030-47753,LOC-IN-25030,LOC-IN-47753,1392,0.000755,3
40559-28042,LOC-IN-40559,LOC-IN-28042,2490,0.000991,8
26402-22569,LOC-IN-26402,LOC-IN-22569,413,0.00085,9
10867-33970,LOC-IN-10867,LOC-IN-33970,1109,0.000419,1
17569-26537,LOC-IN-17569,LOC-IN-26537,1646,0.000791,5
03951-32219,LOC-IN-03951,LOC-IN-32219,1702,0.000638,9
34451-35380,LOC-IN-34451,LOC-IN-35380,2790,0.000385,5
07199-03770,LOC-IN-07199,LOC-IN-03770,2082,0.000907,10
33653-13940,LOC-IN-33653,LOC-IN-13940,1332,0.000614,3
28216-44090,LOC-IN-28216,LOC-IN-44090,1272,0.000347,7
09527-25528,LOC-IN-09527,LOC-IN-25528,1362,0.00066,6
46449-46990,LOC-IN-46449,LOC-IN-46990,985,0.00084,5
08987-26551,LOC-IN-08987,LOC-IN-26551,2889,0.000848,5
22498-20220,LOC-IN-22498,LOC-IN-20220,1814,0.000137,6
11316-01491,LOC-IN-11316,LOC-IN-01491,1682,0.000985,10
15097-08280,LOC-IN-15097,LOC-IN-08280,210,0.000376,4
27104-22494,LOC-IN-27104,LOC-IN-22494,2883,0.000672,9
00450-38929,LOC-IN-00450,LOC-IN-38929,2906,0.000458,9
41365-27938,LOC-IN-41365,LOC-IN-27938,111,0.000105,9
12834-07575,LOC-IN-12834,LOC-IN-07575,2688,0.000675,4
45370-21370,LOC-IN-45370,LOC-IN-21370,1725,0.000881,6
30500-12885,LOC-IN-30500,LOC-IN-12885,1770,0.000261,7
44752-40013,LOC-IN-44752,LOC-IN-40013,1382,0.000971,5
06723-17357,LOC-IN-06723,LOC-IN-17357,986,0.000277,5
48490-20158,LOC-IN-48490,LOC-IN-20158,2082,0.000994,2
43353-24095,LOC-IN-43353,LOC-IN-24095,900,0.000388,4
41141-27539,LOC-IN-41141,LOC-IN-27539,1844,0.000169,4
28140-15693,LOC-IN-28140,LOC-IN-15693,1402,0.000836,4
04299-12243,LOC-IN-04299,LOC-IN-12243,1187,0.00032,10
31658-42116,LOC-IN-31658,LOC-IN-42116,1492,0.000589,2
36891-21818,LOC-IN-36891,LOC-IN-21818,2004,0.000156,7
00576-30537,LOC-IN-00576,LOC-IN-30537,2833,0.000553,2
10994-14894,LOC-IN-10994,LOC-IN-14894,628,0.000412,3
33822-08972,LOC-IN-33822,LOC-IN-08972,2964,0.000478,2
00535-26593,LOC-IN-00535,LOC-IN-26593,1950,0.000423,4
13417-39503,LOC-IN-13417,LOC-IN-39503,1626,0.000563,5
44191-22401,LOC-IN-44191,LOC-IN-22401,1522,0.000819,9
35754-18584,LOC-IN-35754,LOC-IN-18584,2850,0.000789,5
34492-06339,LOC-IN-34492,LOC-IN-06339,2918,0.000536,7
29491-31294,LOC-IN-29491,LOC-IN-31294,1052,0.000286,1
34580-05342,LOC-IN-34580,LOC-IN-05342,1385,0.000374,10
17033-48481,LOC-IN-17033,LOC-IN-48481,101,0.000152,4
24626-33704,LOC-IN-24626,LOC-IN-33704,2894,0.000551,9
26068-47803,LOC-IN-26068,LOC-IN-47803,1458,0.000754,7
39680-06832,LOC-IN-39680,LOC-IN-06832,2175,0.000265,5
46901-37897,LOC-IN-46901,LOC-IN-37897,2470,0.000442,1
02383-30417,LOC-IN-02383,LOC-IN-30417,851,0.000543,1
08474-39510,LOC-IN-08474,LOC-IN-39510,1214,0.000928,2
48882-19500,LOC-IN-48882,LOC-IN-19500,158,0.000238,5
23670-18710,LOC-IN-23670,LOC-IN-18710,2951,0.000279,9
15534-16348,LOC-IN-15534,LOC-IN-16348,161,0.000917,1
43094-43582,LOC-IN-43094,LOC-IN-43582,2329,0.000899,2
01078-07515,LOC-IN-01078,LOC-IN-07515,2303,0.0008,4
23522-16614,LOC-IN-23522,LOC-IN-16614,2926,0.000458,1
46848-27121,LOC-IN-46848,LOC-IN-27121,2120,0.000361,3
24038-15758,LOC-IN-24038,LOC-IN-15758,203,0.000735,5
18935-18079,LOC-IN-18935,LOC-IN-18079,590,0.000606,5
24224-18874,LOC-IN-24224,LOC-IN-18874,1560,0.000348,4
27724-03202,LOC-IN-27724,LOC-IN-03202,829,0.000778,9
05131-40763,LOC-IN-05131,LOC-IN-40763,2477,0.000964,1
12279-27678,LOC-IN-12279,LOC-IN-27678,371,0.000205,4
03115-24906,LOC-IN-03115,LOC-IN-24906,376,0.000203,9
16628-07469,LOC-IN-16628,LOC-IN-07469,1714,0.000187,7
40088-35630,LOC-IN-40088,LOC-IN-35630,849,0.000537,2
20848-31558,LOC-IN-20848,LOC-IN-31558,2897,0.000211,1
20764-31152,LOC-IN-20764,LOC-IN-31152,734,0.000625,8
03415-11553,LOC-IN-03415,LOC-IN-11553,113,0.000273,5
15179-29991,LOC-IN-15179,LOC-IN-29991,2961,0.000754,1
40512-31992,LOC-IN-40512,LOC-IN-31992,1208,0.000982,7
42419-13675,LOC-IN-42419,LOC-IN-13675,2866,0.000208,10
20130-33850,LOC-IN-20130,LOC-IN-33850,2673,0.000221,10
34778-34010,LOC-IN-34778,LOC-IN-34010,1002,0.00093,9
44778-23939,LOC-IN-44778,LOC-IN-23939,2453,0.000352,4
13277-26404,LOC-IN-13277,LOC-IN-26404,2105,0.000874,1
